Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
The Other Guys,2007 acura mdx,1,acura mdx,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,2,2,18,1
The Other Guys,1999 acura tl,1,acura tl,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,3,3,18,1
Jackass 3D,2009 acura tsx,1,acura tsx,21,"$117,052,883",Paramount Pictures,2010,0,1,1,21,1
Iron Man 2,2010 acura zdx,2,acura zdx,4,"$312,433,331",Paramount Pictures,2010,0,1,1,4,2
Letters to Juliet,2009 audi a3 cabriolet,2,audi a3,63,"$53,032,453",Summit Entertainment,2010,0,2,2,63,2
Daybreakers,2005 audi a4 b7,2,audi a4,100,"$30,101,577",Lionsgate,2010,0,3,3,100,2
The Other Guys,2005 audi a4 avant b7,1,audi a4 avant,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,3,3,18,1
The American,2009 audi a5 sportback b8,2,audi a5,89,"$35,606,376",Focus Features,2010,0,2,2,89,2
The Karate Kid,2005 faw-audi a6 l c6,2,audi a6,11,"$176,591,618",Sony Pictures Entertainment (SPE),2010,0,2,2,11,2
Iron Man 2,2008 audi a8 l d3,3,audi a8,4,"$312,433,331",Paramount Pictures,2010,1,1,2,4,3
Date Night,2008 audi r8,4,audi r8,28,"$98,711,404",Twentieth Century Fox,2010,2,0,2,28,4
Salt,2000 audi tt,1,audi tt,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,2,2,19,1
Get Him to the Greek,bentley continental gtc,2,bentley continental gt,53,"$60,974,475",Universal Pictures,2010,0,2,2,53,2
Cop Out,2008 bmw 1 cabriolet [e88],1,bmw 1,73,"$44,875,481",Warner Bros.,2010,0,1,1,73,1
Iron Man 2,bmw 3 [e90],1,bmw 3,4,"$312,433,331",Paramount Pictures,2010,0,20,20,4,1
Eat Pray Love,2001 bmw 525i [e39],2,bmw 5,38,"$80,574,010",Sony Pictures Entertainment (SPE),2010,0,18,18,38,2
The Blind Side,2006 bmw 750li [e66],4,bmw 7,57,"$59,396,157",Warner Bros.,2010,1,9,10,57,4
Salt,2007 bmw x3 [e83],1,bmw x3,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,1,1,19,1
The Blind Side,2004 bmw x5 [e53],3,bmw x5,57,"$59,396,157",Warner Bros.,2010,1,6,7,57,3
Burlesque,2006 bmw z4 [e85],2,bmw z4,87,"$37,403,047",Screen Gems,2010,0,1,1,87,2
Wall Street: Money Never Sleeps,2008 buick enclave,1,buick enclave,65,"$52,474,616",Twentieth Century Fox,2010,0,1,1,65,1
RED,2005 buick lacrosse,2,buick lacrosse,34,"$89,296,297",Summit Entertainment,2010,0,1,1,34,2
Percy Jackson & the Olympians: The Lightning Thief,2006 buick lucerne,1,buick lucerne,35,"$88,768,303",Twentieth Century Fox,2010,0,2,2,35,1
Valentine's Day,2004 cadillac cts,3,cadillac cts,22,"$110,485,654",Warner Bros.,2010,1,1,2,22,3
Grown Ups,2006 cadillac dts,2,cadillac dts,13,"$162,001,186",Sony Pictures Entertainment (SPE),2010,0,4,4,13,2
The Other Guys,2005 cadillac escalade,3,cadillac escalade,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,2,7,9,18,3
Takers,2006 cadillac xlr,3,cadillac xlr,60,"$57,744,720",Screen Gems,2010,1,0,1,60,3
The Town,2007 chevrolet avalanche,3,chevrolet avalanche,32,"$92,155,037",Warner Bros.,2010,2,2,4,32,3
Salt,2005 chevrolet aveo,1,chevrolet aveo,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,4,4,19,1
Valentine's Day,1998 chevrolet blazer,1,chevrolet blazer,22,"$110,485,654",Warner Bros.,2010,0,4,4,22,1
The Other Guys,1968 chevrolet camaro,2,chevrolet camaro,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,5,5,18,2
Salt,2008 chevrolet cobalt,1,chevrolet cobalt,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,7,7,19,1
The Town,2009 chevrolet colorado,1,chevrolet colorado,32,"$92,155,037",Warner Bros.,2010,0,1,1,32,1
Toy Story 3,1998 chevrolet corvette c5,3,chevrolet corvette,2,"$415,004,880",Walt Disney Studios Motion Pictures,2010,2,1,3,2,3
Date Night,2005 chevrolet equinox,1,chevrolet equinox,28,"$98,711,404",Twentieth Century Fox,2010,0,2,2,28,1
Salt,2003 chevrolet express,2,chevrolet express,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,2,2,19,2
Salt,2006 chevrolet hhr,1,chevrolet hhr,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,5,5,19,1
Valentine's Day,1966 chevrolet impala,3,chevrolet impala,22,"$110,485,654",Warner Bros.,2010,2,22,24,22,3
Little Fockers,2010 chevrolet malibu,3,chevrolet malibu,37,"$84,557,425",Universal Pictures,2010,1,17,18,37,3
Due Date,2002 chevrolet silverado,3,chevrolet silverado,26,"$98,935,039",Warner Bros.,2010,1,3,4,26,3
Crazy Heart,1977 chevrolet suburban,4,chevrolet suburban,84,"$38,983,106",Fox Searchlight Pictures,2010,8,14,22,84,4
Crazy Heart,1977 chevrolet suburban,4,chevrolet suburban,84,"$38,983,106",Fox Searchlight Pictures,2010,8,14,22,84,4
Salt,2005 chevrolet tahoe,3,chevrolet tahoe,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,3,14,17,19,3
Salt,2007 chevrolet tahoe,3,chevrolet tahoe,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,3,14,17,19,3
The Town,2006 chevrolet trailblazer,1,chevrolet trailblazer,32,"$92,155,037",Warner Bros.,2010,0,2,2,32,1
The Town,2009 chevrolet traverse,1,chevrolet traverse,32,"$92,155,037",Warner Bros.,2010,0,1,1,32,1
Daybreakers,2008 chrysler 300,4,chrysler 300,100,"$30,101,577",Lionsgate,2010,2,9,11,100,4
The Town,2009 chrysler aspen,1,chrysler aspen,32,"$92,155,037",Warner Bros.,2010,0,1,1,32,1
Kick-Ass,2003 chrysler pt cruiser,2,chrysler pt cruiser,70,"$48,071,303",Lionsgate,2010,0,6,6,70,2
Up in the Air,2007 chrysler sebring,2,chrysler sebring,68,"$50,168,168",Paramount Pictures,2010,0,9,9,68,2
Up in the Air,2007 chrysler sebring,2,chrysler sebring,68,"$50,168,168",Paramount Pictures,2010,0,9,9,68,2
Up in the Air,2009 chrysler sebring,2,chrysler sebring,68,"$50,168,168",Paramount Pictures,2010,0,9,9,68,2
Marmaduke,2008 chrysler town & country,3,chrysler town & country,91,"$33,644,788",Twentieth Century Fox,2010,1,2,3,91,3
Salt,2008 dodge avenger,1,dodge avenger,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,3,3,19,1
The Other Guys,2007 dodge caliber,1,dodge caliber,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,4,4,18,1
The Bounty Hunter,1970 dodge challenger,1,dodge challenger,47,"$67,061,228",Sony Pictures Entertainment (SPE),2010,0,1,1,47,1
The Town,2006 dodge charger,3,dodge charger,32,"$92,155,037",Warner Bros.,2010,2,6,8,32,3
Unstoppable,2003 dodge dakota,2,dodge dakota,41,"$79,104,757",Twentieth Century Fox,2010,0,1,1,41,2
The Expendables,1998 dodge durango,3,dodge durango,25,"$103,068,524",Lionsgate,2010,1,2,3,25,3
Takers,1991 dodge grand caravan,1,dodge grand caravan,60,"$57,744,720",Screen Gems,2010,0,3,3,60,1
Due Date,2009 dodge journey,1,dodge journey,26,"$98,935,039",Warner Bros.,2010,0,3,3,26,1
Salt,2009 dodge ram,2,dodge ram,19,"$118,311,368",Sony Pictures Entertainment (SPE),2010,0,11,11,19,2
Letters to Juliet,2009 fiat 500 c,3,fiat 500,63,"$53,032,453",Summit Entertainment,2010,1,0,1,63,3
Cop Out,2006 ford crown victoria,4,ford crown victoria,73,"$44,875,481",Warner Bros.,2010,13,66,79,73,4
Inception,2003 ford e-350,4,ford e-,6,"$292,558,188",Warner Bros.,2010,3,12,15,6,4
Dear John,2008 ford edge,1,ford edge,40,"$80,014,842",Screen Gems,2010,0,3,3,40,1
The Back-up Plan,2008 ford escape hybrid,3,ford escape,86,"$37,490,007",CBS Films,2010,1,11,12,86,3
Get Him to the Greek,2008 ford expedition el stretched limousine gen.3,3,ford expedition,53,"$60,974,475",Universal Pictures,2010,1,2,3,53,3
The Other Guys,1999 ford explorer,2,ford explorer,18,"$119,219,978",Sony Pictures Entertainment (SPE),2010,0,12,12,18,2
