Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
Deadpool 2,2016 acura ilx,1,acura ilx,acura ilx,5,"$318,491,426",Twentieth Century Fox,2018,0,1,1,5,1
Nobody's Fool,2010 acura mdx,1,acura mdx,acura mdx,90,"$31,713,110",Paramount Pictures,2018,0,1,1,90,1
A Simple Favor,2007 acura rdx,1,acura rdx,acura rdx,56,"$53,548,586",Lionsgate,2018,0,1,1,56,1
Sicario: Day of the Soldado,2011 acura tsx,1,acura tsx,acura tsx,60,"$50,072,235",Sony Pictures Entertainment (SPE),2018,0,1,1,60,1
Peter Rabbit,2004 audi a3 sportback,2,audi a3,audi a3,27,"$115,253,424",Sony Pictures Entertainment (SPE),2018,0,9,9,27,2
Mile 22,1995 audi a4 b5,2,audi a4,audi a4,82,"$36,108,758",STX Entertainment,2018,0,8,8,82,2
Peter Rabbit,2005 audi a6 avant c6,1,audi a6,audi a6,27,"$115,253,424",Sony Pictures Entertainment (SPE),2018,0,4,4,27,1
Avengers: Infinity War,2016 audi a7 c7,1,audi a7,audi a7,2,"$678,815,482",Walt Disney Studios Motion Pictures,2018,0,1,1,2,1
I Feel Pretty,2015 audi a8 d4,1,audi a8,audi a8,61,"$48,795,601",STX Entertainment,2018,0,1,1,61,1
Fifty Shades Freed,2009 audi q5,1,audi q5,audi q5,35,"$100,407,760",Universal Pictures,2018,0,1,1,35,1
Fifty Shades Freed,2017 audi q7,3,audi q7,audi q7,35,"$100,407,760",Universal Pictures,2018,1,2,3,35,3
Crazy Rich Asians,2009 audi r8,3,audi r8,audi r8,17,"$174,039,071",Warner Bros.,2018,2,0,2,17,3
Sicario: Day of the Soldado,2008 audi tt,1,audi tt,audi tt,60,"$50,072,235",Sony Pictures Entertainment (SPE),2018,0,1,1,60,1
Black Panther,2016 bentley continental gtc,1,bentley continental gt,bentley continental gt,1,"$700,059,566",Walt Disney Studios Motion Pictures,2018,0,3,3,1,1
Crazy Rich Asians,2014 bentley flying spur,1,bentley flying spur,bentley flying spur,17,"$174,039,071",Warner Bros.,2018,0,1,1,17,1
Mission: Impossible - Fallout,2008 bmw 1 coupé [e82],1,bmw 1,bmw 1-series,8,"$220,159,104",Paramount Pictures,2018,0,1,1,8,1
Bumblebee,1974 bmw 2002,1,bmw 2,bmw 2-series,41,"$71,426,119",Paramount Pictures,2018,0,2,2,41,1
Truth or Dare,bmw 3 [e30],3,bmw 3,bmw 3-series,76,"$41,411,015",Universal Pictures,2018,1,18,19,76,3
Instant Family,2014 bmw 4 [f32],2,bmw 4,bmw 4-series,48,"$64,845,006",Paramount Pictures,2018,0,1,1,48,2
Mission: Impossible - Fallout,1986 bmw 528i [e28],3,bmw 5,bmw 5-series,8,"$220,159,104",Paramount Pictures,2018,3,12,15,8,3
Red Sparrow,2004 bmw 6 [e64],1,bmw 6,bmw 6-series,64,"$46,874,505",Twentieth Century Fox,2018,0,1,1,64,1
Mission: Impossible - Fallout,2017 bmw 740le [g12],3,bmw 7,bmw 7-series,8,"$220,159,104",Paramount Pictures,2018,5,4,9,8,3
Crazy Rich Asians,2014 bmw i8 [i12],1,bmw i8,bmw i8,17,"$174,039,071",Warner Bros.,2018,0,1,1,17,1
The Commuter,2014 bmw x5 [f15],3,bmw x5,bmw x5,80,"$36,343,858",Lionsgate,2018,1,6,7,80,3
Deadpool 2,2006 buick lacrosse,2,buick lacrosse,buick lacrosse,5,"$318,491,426",Twentieth Century Fox,2018,0,6,6,5,2
Truth or Dare,1976 buick regal,1,buick regal,buick regal,76,"$41,411,015",Universal Pictures,2018,0,2,2,76,1
Uncle Drew,2012 buick verano,2,buick verano,buick verano,73,"$42,469,946",Lionsgate,2018,0,2,2,73,2
Ralph Breaks the Internet,cadillac cts coupe,3,cadillac cts,cadillac cts,16,"$177,616,854",Walt Disney Studios Motion Pictures,2018,1,2,3,16,3
The Mule,2006 cadillac dts funeral coach,1,cadillac dts,cadillac dts,49,"$64,720,334",Warner Bros.,2018,0,3,3,49,1
Ant-Man and the Wasp,2007 cadillac escalade,3,cadillac escalade,cadillac escalade,9,"$216,648,740",Walt Disney Studios Motion Pictures,2018,4,10,14,9,3
Uncle Drew,2005 cadillac sts,1,cadillac sts,cadillac sts,73,"$42,469,946",Lionsgate,2018,0,1,1,73,1
Ocean's Eight,2017 cadillac xt5,1,cadillac xt5,cadillac xt5,22,"$140,218,711",Warner Bros.,2018,0,1,1,22,1
Den of Thieves,2013 cadillac xts,1,cadillac xts,cadillac xts,68,"$44,947,622",STX Entertainment,2018,0,1,1,68,1
Rampage,2005 chevrolet aveo,1,chevrolet aveo,chevrolet aveo,33,"$101,028,233",Warner Bros.,2018,0,3,3,33,1
Ant-Man and the Wasp,1999 chevrolet blazer,1,chevrolet blazer,chevrolet blazer,9,"$216,648,740",Walt Disney Studios Motion Pictures,2018,0,1,1,9,1
Ocean's Eight,2017 chevrolet bolt,1,chevrolet bolt,chevrolet bolt,22,"$140,218,711",Warner Bros.,2018,0,1,1,22,1
Sicario: Day of the Soldado,1978 chevrolet camaro,4,chevrolet camaro,chevrolet camaro,60,"$50,072,235",Sony Pictures Entertainment (SPE),2018,2,7,9,60,4
Deadpool 2,2005 chevrolet cobalt,1,chevrolet cobalt,chevrolet cobalt,5,"$318,491,426",Twentieth Century Fox,2018,0,3,3,5,1
