Rank,Vehicle,2013,2012,% Change,December 2013,December 2012,% Change.1
#1,Ford F-Series,763402,645316,18.3%,74592,68787,8.4%
#2,Chevrolet Silverado,480414,418312,14.8%,42593,50699,-16.0%
#3,Toyota Camry,408484,404886,0.9%,29964,31407,-4.6%
#4,Honda Accord,366678,331872,10.5%,32321,29428,9.8%
#5,Dodge Ram ¹,355673,293363,21.2%,33405,30211,10.6%
#6,Honda Civic,336180,317909,5.7%,29000,33118,-12.4%
#7,Nissan Altima,320723,302934,5.9%,24816,23966,3.5%
#8,Honda CR-V,303904,281652,7.9%,28759,25733,11.8%
#9,Toyota Corolla/Matrix,302180,290947,3.9%,22562,24679,-8.6%
#10,Ford Escape,295993,261008,13.4%,24462,20131,21.5%
#11,Ford Fusion,295280,241263,22.4%,24408,19283,26.6%
#12,Chevrolet Cruze,248224,237758,4.4%,18162,21230,-14.5%
#13,Hyundai Elantra,247912,202034,22.7%,21692,19024,14.0%
#14,Chevrolet Equinox,238192,218621,9.0%,17212,19551,-12.0%
#15,Ford Focus,234570,245922,-4.6%,15569,22604,-31.1%
#16,Toyota RAV4,218249,171877,27.0%,20970,14351,46.1%
#17,Hyundai Sonata,203648,230605,-11.7%,14479,20826,-30.5%
#18,Chevrolet Malibu,200594,210951,-4.9%,15493,11630,33.2%
#19,Ford Explorer,192397,164207,17.2%,16907,17244,-2.0%
#19.1,Ford Explorer *,178311,158344,12.6%,15660,16695,-6.2%
#19.2,Ford Explorer Police Interceptor *,14086,5863,140%,1247,549,127%
#20,GMC Sierra,184389,157185,17.3%,17854,18710,-4.6%
#21,Jeep Grand Cherokee,174275,154734,12.6%,16517,17121,-3.5%
#22,Volkswagen Jetta,163793,170424,-3.9%,15393,15661,-1.7%
#22.1,Volkswagen Jetta Sedan *,141259,146478,-3.6%,13719,13102,4.7%
#22.2,Volkswagen Jetta Sportwagen *,22534,23946,-5.9%,1674,2559,-34.6%
#23,Nissan Rogue,162751,142349,14.3%,14676,11488,27.8%
#24,Toyota Tacoma,159485,141365,12.8%,12761,14030,-9.0%
#25,Toyota Prius ²,157260,160257,-1.9%,10800,13897,-22.3%
#25.1,Toyota Prius Sedan *,145172,147507,-1.6%,9881,12536,-21.2%
#25.2,Toyota Prius Plug-In *,12088,12750,-5.2%,919,1361,-32.5%
#26,Chevrolet Impala,156797,169351,-7.4%,10633,9641,10.3%
#27,Kia Optima,155893,152399,2.3%,9474,12008,-21.1%
#28,Jeep Wrangler,155502,141669,9.8%,12028,11545,4.2%
#29,Nissan Sentra,129143,106395,21.4%,10799,7755,39.3%
#30,Ford Edge,129109,127969,0.9%,12078,12434,-2.9%
#31,Honda Odyssey,128987,125980,2.4%,12107,9126,32.7%
#32,Toyota Highlander,127572,121055,5.4%,12344,12191,1.3%
#33,Honda Pilot,126678,114848,10.3%,8971,11366,-21.1%
#34,Dodge Grand Caravan,124019,141468,-12.3%,11226,14160,-20.7%
#35,Subaru Forester,123592,76347,61.9%,13229,8764,50.9%
#36,Chrysler 200,122480,125476,-2.4%,5652,9080,-37.8%
#37,Chrysler Town & Country,122288,111744,9.4%,9737,9258,5.2%
#38,Toyota Sienna,121117,114725,5.6%,9380,10885,-13.8%
#39,BMW 3-Series & 4-Series ³,119521,99602,20.0%,16737,10745,55.8%
#40,Kia Soul,118079,115778,2.0%,6345,7177,-11.6%
#41,Subaru Outback,118049,117553,0.4%,11002,12072,-8.9%
#42,Nissan Versa,117352,113327,3.6%,8864,10618,-16.5%
#43,Toyota Tundra,112732,101621,10.9%,10988,10254,7.2%
