Rank,Vehicle,Dec. 2014 YTD,Dec. 2013 YTD,% Change,Dec. 2014,Dec. 2013,% Change.1
#1,Ford F-Series,753851,763402,-1.3%,74355,74592,-0.3%
#2,Chevrolet Silverado,529755,480414,10.3%,57837,42593,35.8%
#3,Ram P/U,439789,355673,23.7%,44222,33405,32.4%
#4,Toyota Camry,428606,408484,4.9%,31618,29964,5.5%
#5,Honda Accord,388374,366678,5.9%,31589,32321,-2.3%
#6,Toyota Corolla/Matrix,339498,302180,12.4%,30125,22562,33.5%
#7,Nissan Altima,335644,320723,4.7%,32331,24816,30.3%
#8,Honda CR-V,335019,303904,10.2%,32369,28759,12.6%
#9,Honda Civic,325981,336180,-3.0%,25337,29000,-12.6%
#10,Ford Fusion,306860,295280,3.9%,23166,24408,-5.1%
#11,Ford Escape,306212,295993,3.5%,25603,24462,4.7%
#12,Chevrolet Cruze,273060,248224,10.0%,17800,18162,-2.0%
#13,Toyota RAV4,267698,218249,22.7%,22997,20970,9.7%
#14,Chevrolet Equinox,242242,238192,1.7%,21298,17212,23.7%
#15,Hyundai Elantra,222023,247912,-10.4%,18860,21692,-13.1%
#16,Ford Focus,219634,234570,-6.4%,14883,15569,-4.4%
#17,Hyundai Sonata,216936,203648,6.5%,17924,14479,23.8%
#18,GMC Sierra,211833,184389,14.9%,23436,17854,31.3%
#19,Ford Explorer,209994,192397,9.1%,18464,16907,9.2%
#19.1,Ford Explorer *,189339,178311,6.2%,16632,15660,6.2%
#19.2,Ford Explorer Police Interceptor *,20655,14086,46.6%,1832,1247,46.9%
#20,Nissan Rogue,199199,162751,22.4%,14879,14676,1.4%
#21,Chevrolet Malibu,188519,200594,-6.0%,16817,15493,8.5%
#22,Jeep Grand Cherokee,183786,174275,5.5%,17176,16517,4.0%
#23,Nissan Sentra,183268,129143,41.9%,15393,10799,42.5%
#24,Jeep Cherokee,178508,25786,592%,17715,15038,17.8%
#25,Jeep Wrangler,175328,155502,12.8%,14003,12028,16.4%
#26,Volkswagen Jetta,160873,163793,-1.8%,15578,15393,1.2%
#26.1,Volkswagen Jetta Sedan *,141354,141259,0.1%,14572,13719,6.2%
#26.2,Volkswagen Jetta SportWagen *,19519,22534,-13.4%,1006,1674,-39.9%
#27,Subaru Forester,159953,123592,29.4%,15163,13229,14.6%
#28,Kia Optima,159020,155893,2.0%,11827,9474,24.8%
#29,Toyota Tacoma,155041,159485,-2.8%,14284,12761,11.9%
#30,Toyota Highlander,146127,127572,14.5%,15019,12344,21.7%
#31,Kia Soul,145316,118079,23.1%,9906,6345,56.1%
#32,BMW 3-Series & 4-Series ³,142232,119521,19.0%,19464,16737,16.3%
#33,Chevrolet Impala,140280,156797,-10.5%,13088,10633,23.1%
#34,Nissan Versa,139781,117352,19.1%,9129,8864,3.0%
#35,Subaru Outback,138790,118049,17.6%,14772,11002,34.3%
#36,Chrysler Town & Country,138040,122288,12.9%,10709,9737,10.0%
#37,Toyota Prius ²,136040,157260,-13.5%,9291,10800,-14.0%
#37.1,Toyota Prius Sedan *,122776,145172,-15.4%,8799,9881,-11.0%
#37.2,Toyota Prius Plug-In *,13264,12088,9.7%,492,919,-46.5%
#38,Dodge Grand Caravan,134152,124019,8.2%,11253,11226,0.2%
#39,Toyota Sienna,124502,121117,2.8%,11688,9380,24.6%
#40,Honda Odyssey,122738,128987,-4.8%,10368,12107,-14.4%
#41,Toyota Tundra,118493,112732,5.1%,10519,10988,-4.3%
#42,Chrysler 200,117363,122480,-4.2%,16229,5652,187%
#43,Ford Edge,108864,129109,-15.7%,7940,12078,-34.3%
#44,Honda Pilot,108857,126678,-14.1%,11479,8971,28.0%
#45,Hyundai Santa Fe,107906,88844,21.5%,10395,8249,26.0%
#46,Lexus RX,107490,103920,3.4%,13625,13169,3.5%
#47,GMC Terrain,105016,99525,5.5%,11032,7998,37.9%
#48,Mazda 3,104985,104713,0.3%,9719,7669,26.7%
#49,Chevrolet Traverse,103943,96467,7.8%,8654,7802,10.9%
#50,Ford E-Series,103263,125356,-17.6%,5256,12460,-57.8%
#51,Kia Sorento,102520,105649,-3.0%,9688,7482,29.5%
#52,Mazda CX-5,99122,79544,24.6%,7721,6720,14.9%
#53,Chevrolet Tahoe,97726,83502,17.0%,11259,8646,30.2%
#54,Volkswagen Passat,96649,109652,-11.9%,8257,9254,-10.8%
#55,Dodge Charger,94099,98336,-4.3%,8422,10145,-17.0%
#56,Dodge Journey,93572,83933,11.5%,8421,7616,10.6%
#57,Chevrolet Sonic,93518,85646,9.2%,5456,4435,23.0%
#58,Jeep Patriot,93462,75797,23.3%,9434,6158,53.2%
#59,Chevrolet Camaro,86297,80567,7.1%,6628,5015,32.2%
#60,GMC Acadia,83972,89793,-6.5%,7323,7923,-7.6%
#61,Dodge Dart,83858,83388,0.6%,6881,5449,26.3%
#62,Subaru Impreza,83488,76825,8.7%,8624,6629,30.1%
#62.1,Subaru Impreza *,57996,58856,-1.5%,5808,4949,17.4%
#62.2,Subaru Impreza WRX/STi *,25492,17969,41.9%,2816,1680,67.6%
#63,Ford Mustang,82635,77186,7.1%,9511,5727,66.1%
#64,Chevrolet Express,79352,79087,0.3%,5611,7159,-21.6%
#65,Nissan Pathfinder,79111,88632,-10.7%,6789,6675,1.7%
#66,Toyota 4Runner,76906,51625,49.0%,8144,5100,59.7%
#67,Mercedes-Benz C-Class,75065,88251,-14.9%,8224,7229,13.8%
#68,Nissan Frontier,74323,62837,18.3%,6060,5411,12.0%
#69,Lexus ES,72508,72581,-0.1%,7782,8213,-5.2%
#70,Subaru XV Crosstrek,70956,53741,32.0%,5482,5525,-0.8%
#71,Kia Forte,69336,66146,4.8%,5306,4302,23.3%
#72,Toyota Avalon,67183,70990,-5.4%,6501,6212,4.7%
#73,Mercedes-Benz E-Class,66400,69803,-4.9%,5119,8727,-41.3%
#74,Acura MDX,65603,53040,23.7%,6761,6538,3.4%
#75,Dodge Durango,64398,60727,6.0%,6119,5376,13.8%
#76,Hyundai Accent,63309,60458,4.7%,8566,7100,20.6%
#77,Ford Fiesta,63192,71073,-11.1%,3724,4476,-16.8%
#78,Ford Taurus,62629,79960,-21.7%,3748,5411,-30.7%
#78.1,Ford Taurus *,52395,69063,-24.1%,3061,4696,-34.8%
#78.2,Ford Taurus Poice Interceptor *,10234,10897,-6.1%,687,715,-3.9%
#79,Buick Enclave,62300,60534,2.9%,7393,4819,53.4%
#80,Jeep Compass,61264,52993,15.6%,4946,3534,40.0%
#81,Honda Fit,59340,53513,10.9%,6450,4617,39.7%
#82,Chevrolet Suburban,55009,51260,7.3%,6761,5820,16.2%
#83,Cadillac SRX,53578,56776,-5.6%,4899,6074,-19.3%
#84,Chrysler 300,53382,57724,-7.5%,3992,4881,-18.2%
#85,Mazda 6,53224,43637,22.0%,4323,4365,-1.0%
#86,BMW 5-Series,52704,56863,-7.3%,5517,8102,-31.9%
#87,Subaru Legacy,52270,42291,23.6%,5457,2939,85.7%
#88,Dodge Avenger,51705,93842,-44.9%,455,4950,-90.8%
#89,Dodge Challenger,51611,51462,0.3%,4938,2872,71.9%
#90,Buick LaCrosse,51468,48798,5.5%,5034,3123,61.2%
#91,Lexus IS,51358,35017,46.7%,5939,5414,9.7%
#92,Nissan Maxima,50401,53896,-6.5%,3180,6509,-51.1%
#93,Buick Encore,48892,31956,53.0%,3102,2761,12.4%
