Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Fiat 124 Spider,184,287,-35.89,3515,4478,-21.51
BMW 2-Series,718,1188,-39.56,9208,11737,-21.55
Chrysler 200,6,332,-98.19,1043,18457,-94.35
Mazda 3,5277,5669,-6.91,64638,75018,-13.84
BMW 3-Series,3184,5556,-42.69,44578,59449,-25.01
Chrysler 300,3483,5726,-39.17,46593,51237,-9.06
Nissan 370Z,202,304,-33.55,3468,4614,-24.84
BMW 4-Series,1916,3411,-43.83,31379,39634,-20.83
Alfa Romeo 4C,10,26,-61.54,238,406,-41.38
Toyota 4Runner,13309,11954,11.34,139694,128296,8.88
BMW 5-Series,4756,4743,0.27,43937,40658,8.06
Fiat 500,418,667,-37.33,5370,12685,-57.67
Fiat 500L,39,111,-64.86,1413,1664,-15.08
Fiat 500X,336,673,-50.07,5223,7665,-31.86
Mazda 6,2357,1776,32.71,30938,33402,-7.38
BMW 6-Series,330,369,-10.57,3762,3355,12.13
Volvo 60-Series,302,1338,-77.43,12176,16825,-27.63
BMW 7-Series,983,1107,-11.2,8271,9276,-10.83
Porsche 718,237,301,-21.26,5276,5087,3.72
BMW 8-Series,223,0,0.0,223,0,0.0
Toyota 86 / FR-S,295,425,-30.59,4133,6846,-39.63
Volvo 90-Series,664,1148,-42.16,9892,11090,-10.8
Porsche 911,789,773,2.07,9783,8970,9.06
Audi A3,792,2024,-60.87,18305,23610,-22.47
Audi A4,1881,3916,-51.97,34311,34434,-0.36
Audi A5,1746,2958,-40.97,25972,21301,21.93
Audi A6,3058,1970,55.23,10561,16304,-35.22
Audi A7,1095,453,141.72,3852,4810,-19.92
Audi A8,380,266,42.86,1599,3127,-48.86
GMC Acadia,8485,10837,-21.7,88622,111276,-20.36
Hyundai Accent,3830,5205,-26.42,29090,58955,-50.66
Honda Accord,28627,22115,29.45,291071,322655,-9.79
Nissan Altima,17064,18199,-6.24,209146,254996,-17.98
Mercedes-Benz AMG GT,136,183,-25.68,1525,1609,-5.22
Nissan Armada,2874,3368,-14.67,32650,35667,-8.46
Subaru Ascent,7733,0,0.0,36211,0,0.0
Volkswagen Atlas,6717,6070,10.66,59677,27119,120.06
Cadillac ATS,281,1093,-74.29,10860,13100,-17.1
Toyota Avalon,2538,2427,4.57,33580,32583,3.06
Hyundai Azera,2,141,-98.58,629,3060,-79.44
Mercedes-Benz B-Class,1,111,-99.1,135,744,-81.85
Volkswagen Beetle,917,835,9.82,14411,15166,-4.98
Chevrolet Blazer,27,0,0.0,27,0,0.0
Chevrolet Bolt,2098,3227,-34.99,18020,23297,-22.65
Subaru BRZ,349,297,17.51,3834,4131,-7.19
Mercedes-Benz C-Class,6799,6500,4.6,54829,77446,-29.2
Toyota C-HR,4297,3866,11.15,49642,25755,92.75
Ford C-Max,16,1416,-98.87,6683,18390,-63.66
Kia Cadenza,198,896,-77.9,4507,7249,-37.83
Chevrolet Camaro,3760,3802,-1.1,50963,67940,-24.99
Toyota Camry,29093,43331,-32.86,343439,387081,-11.27
GMC Canyon,2775,3467,-19.96,33493,31306,6.99
Ram Cargo Van,0,0,0.0,0,0,0.0
Buick Cascada,251,408,-38.48,4628,5595,-17.28
Porsche Cayenne,1383,940,47.13,11106,13203,-15.88
Volkswagen CC,11,54,-79.63,455,1355,-66.42
Dodge Challenger,4156,4508,-7.81,66716,64537,3.38
Dodge Charger,7293,6830,6.78,80226,88351,-9.2
Jeep Cherokee,20800,19358,7.45,239437,169882,40.94
Honda Civic,26384,31406,-15.99,325760,377286,-13.66
Mercedes-Benz CLA-Class,1708,2279,-25.05,26269,20669,27.09
Honda Clarity FCV,2857,1425,100.49,20174,2455,721.75
Chevrolet Colorado,10131,9626,5.25,134842,112996,19.33
Jeep Compass,12745,8743,45.77,171167,83253,105.6
Lincoln Continental,1170,1216,-3.78,8758,12012,-27.09
Mini Cooper,1619,3070,-47.26,26119,32239,-18.98
Toyota Corolla,25439,19969,27.39,303732,329196,-7.74
Chevrolet Corvette,1320,2278,-42.05,18789,25079,-25.08
Mini Countryman,1178,1541,-23.56,17565,14863,18.18
Honda CR-V,42079,37002,13.72,379021,378600,0.11
Honda CR-Z,1,0,0.0,30,0,0.0
Subaru CrossTrek,11295,12302,-8.19,144384,110138,31.09
Chevrolet Cruze,11128,13406,-16.99,142618,184751,-22.81
Cadillac CT6,810,841,-3.69,9669,10542,-8.28
Cadillac CTS,825,805,2.48,11220,10344,8.47
Mazda CX-3,1144,1582,-27.69,16899,16355,3.33
Mazda CX-5,13741,14097,-2.53,150622,127563,18.08
Mazda CX-9,2840,3276,-13.31,28257,25828,9.4
Dodge Dart,2,139,-98.56,389,10082,-96.14
Land Rover Discovery / LR4,1037,1038,-0.1,9842,6398,53.83
Land Rover Discovery Sport,1512,1466,3.14,12035,14187,-15.17
Dodge Durango,5997,5547,8.11,65947,68761,-4.09
Mercedes-Benz E / CLS-Class,5042,5385,-6.37,46424,51312,-9.53
Jaguar E-Pace,727,0,0.0,5985,0,0.0
Ford E-Series,3149,3911,-19.48,47936,53304,-10.07
Mitsubishi Eclipse Cross,1597,0,0.0,9485,0,0.0
Ford EcoSport,5472,0,0.0,54348,0,0.0
Ford Edge,15133,13660,10.78,134122,142603,-5.95
Hyundai Elantra,15076,21350,-29.39,200415,198210,1.11
Buick Enclave,4869,5326,-8.58,49648,48564,2.23
Buick Encore,7876,8052,-2.19,93071,88035,5.72
Buick Envision,2544,6056,-57.99,30153,41040,-26.53
Chevrolet Equinox,33172,32784,1.18,332621,290458,14.52
Lexus ES,5385,5047,6.7,48482,51398,-5.67
Cadillac Escalade,3232,2881,12.18,36032,22994,56.7
Ford Escape,20147,26253,-23.26,272228,308296,-11.7
Ford Expedition,6253,5458,14.57,54661,51883,5.35
Ford Explorer,22293,28566,-21.96,261571,271131,-3.53
Chevrolet Express,7612,6296,20.9,66963,69164,-3.18
Jaguar F-Pace,1595,1708,-6.62,12997,19238,-32.44
Ford F-Series,87772,89385,-1.8,909330,896764,1.4
Jaguar F-Type,197,391,-49.62,2268,4108,-44.79
Ford Fiesta,4309,3657,17.83,51730,46249,11.85
Honda Fit,768,3434,-77.64,35030,47647,-26.48
Ford Flex,1445,1834,-21.21,20308,22389,-9.29
Ford Focus,3661,11237,-67.42,114045,158385,-28.0
Subaru Forester,17642,17441,1.15,171613,177563,-3.35
Kia Forte,7709,7922,-2.69,101890,117596,-13.36
Smart ForTwo,122,166,-26.51,1276,3071,-58.45
Nissan Frontier,7492,5880,27.41,79646,74360,7.11
Ford Fusion,16052,17444,-7.98,173600,209623,-17.18
Mercedes-Benz G-Class,445,471,-5.52,3593,4188,-14.21
Genesis G70,229,0,0.0,358,0,0.0
Genesis G80,305,1542,-80.22,7446,16214,-54.08
Genesis G90,80,406,-80.3,2136,4398,-51.43
Alfa Romeo Giulia,873,1011,-13.65,11519,8904,29.37
Mercedes-Benz GL/GLS-Class,2664,2998,-11.14,21973,32248,-31.86
Mercedes-Benz GLA-Class,2397,2580,-7.09,24136,24104,0.13
Mercedes-Benz GLC/GLK-Class,7294,6152,18.56,69729,48643,43.35
Mercedes-Benz GLE-Class,3734,5823,-35.87,46010,54595,-15.72
Volkswagen Golf,2425,4529,-46.46,42271,68978,-38.72
Dodge Grand Caravan,9694,6623,46.37,151927,125196,21.35
Jeep Grand Cherokee,20429,23622,-13.52,224908,240696,-6.56
Lexus GS,587,916,-35.92,6604,7773,-15.04
Ford GT,1,9,-88.89,126,89,41.57
Nissan GT-R,25,36,-30.56,538,578,-6.92
Lexus GX,3322,3325,-0.09,26724,27190,-1.71
Toyota Highlander,23125,21041,9.9,244511,215775,13.32
Honda HR-V,6313,7543,-16.31,85494,93764,-8.82
Jaguar I-Pace,223,0,0.0,393,0,0.0
BMW i3,356,672,-47.02,6120,6276,-2.49
BMW i8,97,80,21.25,772,488,58.2
Acura ILX,924,835,10.66,11273,11757,-4.12
Chevrolet Impala,4256,8201,-48.1,56557,75877,-25.46
Subaru Impreza,5880,8037,-26.84,76400,86043,-11.21
Subaru Impreza WRX,2417,2424,-0.29,28730,31358,-8.38
