Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Fiat 124 Spider,142,184,-22.83,2646,3515,-24.72
BMW 2-Series,765,718,6.55,8015,9208,-12.96
Chrysler 200,1,6,-83.33,48,1043,-95.4
Mazda 3,3175,5277,-39.83,50741,64638,-21.5
BMW 3-Series,5245,3184,64.73,47827,44578,7.29
Chrysler 300,1818,3483,-47.8,29214,46593,-37.3
Nissan 370Z,158,202,-21.78,2384,3468,-31.26
BMW 4-Series,891,1916,-53.5,18621,31379,-40.66
Alfa Romeo 4C,6,10,-40.0,145,238,-39.08
Toyota 4Runner,11529,13309,-13.37,131864,139694,-5.61
BMW 5-Series,2733,4756,-42.54,38709,43937,-11.9
Fiat 500,230,418,-44.98,3267,5370,-39.16
Fiat 500L,55,39,41.03,772,1413,-45.36
Fiat 500X,146,336,-56.55,2519,5223,-51.77
Mazda 6,1630,2357,-30.84,21524,30938,-30.43
BMW 6-Series,8,330,-97.58,1139,3762,-69.72
Volvo 60-Series,2017,302,567.88,20190,12176,65.82
BMW 7-Series,763,983,-22.38,8823,8271,6.67
Porsche 718,191,237,-19.41,3880,5276,-26.46
BMW 8-Series,1066,223,378.03,4410,223,1877.58
Toyota 86 / FR-S,276,295,-6.44,3398,4133,-17.78
Volvo 90-Series,218,664,-67.17,4052,9892,-59.04
Porsche 911,663,789,-15.97,9265,9783,-5.29
Mercedes-Benz A-Class,1166,0,0.0,15944,0,0.0
Audi A3,1263,792,59.47,10418,18305,-43.09
Audi A4,2152,1881,14.41,26435,34311,-22.95
Audi A5,2191,1746,25.49,23023,25972,-11.35
Audi A6,2126,3058,-30.48,17807,10561,68.61
Audi A7,454,1095,-58.54,4955,3852,28.63
Audi A8,536,380,41.05,2963,1599,85.3
GMC Acadia,6411,8485,-24.44,99430,88622,12.2
Hyundai Accent,2311,3830,-39.66,25628,29090,-11.9
Honda Accord,19682,28627,-31.25,267567,291071,-8.08
Nissan Altima,19132,17064,12.12,209183,209146,0.02
Mercedes-Benz AMG GT,445,136,227.21,4048,1525,165.44
Nissan Armada,2967,2874,3.24,32044,32650,-1.86
Volkswagen Arteon,283,0,0.0,2449,0,0.0
Subaru Ascent,8280,7733,7.07,81958,36211,126.33
Volkswagen Atlas,7400,6717,10.17,81508,59677,36.58
Cadillac ATS,27,281,-90.39,1134,10860,-89.56
Toyota Avalon,1844,2538,-27.34,27767,33580,-17.31
Lincoln Aviator,2116,0,0.0,8324,0,0.0
Volkswagen Beetle,712,917,-22.36,17215,14411,19.46
Chevrolet Blazer,7576,27,27959.26,58116,27,215144.44
Chevrolet Bolt,1089,2098,-48.09,16419,18020,-8.88
Subaru BRZ,131,349,-62.46,2334,3834,-39.12
Mercedes-Benz C-Class,3412,6799,-49.82,48875,54829,-10.86
Toyota C-HR,3303,4297,-23.13,48930,49642,-1.43
Kia Cadenza,184,198,-7.07,1577,4507,-65.01
Chevrolet Camaro,3778,3760,0.48,48266,50963,-5.29
Toyota Camry,26309,29093,-9.57,336978,343439,-1.88
GMC Canyon,2148,2775,-22.59,32826,33493,-1.99
Buick Cascada,25,251,-90.04,2535,4628,-45.22
Porsche Cayenne,1482,1383,7.16,19001,11106,71.09
Volkswagen CC,2,11,-81.82,58,455,-87.25
Dodge Challenger,4708,4156,13.28,60997,66716,-8.57
Dodge Charger,8505,7293,16.62,96936,80226,20.83
Jeep Cherokee,13845,20800,-33.44,191397,239437,-20.06
Honda Civic,22913,26384,-13.16,325650,325760,-0.03
Mercedes-Benz CLA-Class,1344,1708,-21.31,13212,26269,-49.7
Honda Clarity FCV,805,2857,-71.82,11654,20174,-42.23
Chevrolet Colorado,8391,10131,-17.18,121703,134842,-9.74
Jeep Compass,10952,12745,-14.07,143933,171167,-15.91
Lincoln Continental,607,1170,-48.12,6587,8758,-24.79
Mini Cooper,1614,1619,-0.31,22123,26119,-15.3
Toyota Corolla,23742,25439,-6.67,304850,303732,0.37
