Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,15 Jul 2011,130 min,"Adventure, Drama, Fantasy, Mystery",David Yates,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe",UK,Nominated for 3 Oscars. Another 46 wins & 91 nominations.,96%,85,8.1,"771,332",tt1201607,2011
Transformers: Dark of the Moon,Transformers: Dark of the Moon,2011,PG-13,29 Jun 2011,154 min,"Action, Adventure, Sci-Fi",Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Josh Duhamel, John Turturro",USA,Nominated for 3 Oscars. Another 10 wins & 39 nominations.,35%,42,6.2,"386,139",tt1399103,2011
The Twilight Saga: Breaking Dawn - Part 1,The Twilight Saga: Breaking Dawn - Part 1,2011,PG-13,18 Nov 2011,117 min,"Adventure, Drama, Fantasy, Romance, Thriller",Bill Condon,"Taylor Lautner, Gil Birmingham, Billy Burke, Sarah Clarke",USA,11 wins & 22 nominations.,25%,45,4.9,"225,316",tt1324999,2011
The Hangover Part II,The Hangover Part II,2011,R,26 May 2011,102 min,Comedy,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha","USA, Thailand",5 wins & 18 nominations.,33%,44,6.5,"466,051",tt1411697,2011
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011,PG-13,20 May 2011,136 min,"Action, Adventure, Fantasy",Rob Marshall,"Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane","USA, UK",3 wins & 31 nominations.,33%,45,6.6,"484,140",tt1298650,2011
Fast Five,Fast Five,2011,PG-13,29 Apr 2011,130 min,"Action, Adventure, Crime, Thriller",Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson","USA, Brazil, Japan",9 wins & 21 nominations.,77%,66,7.3,"354,371",tt1596343,2011
Cars 2,Cars 2,2011,G,24 Jun 2011,106 min,"Animation, Adventure, Comedy, Family, Sci-Fi, Sport","John Lasseter, Bradford Lewis(co-director)","Larry the Cable Guy, Owen Wilson, Michael Caine, Emily Mortimer",USA,Nominated for 1 Golden Globe. Another 1 win & 18 nominations.,39%,57,6.1,"162,266",tt1216475,2011
Thor,Thor,2011,PG-13,06 May 2011,115 min,"Action, Adventure, Fantasy",Kenneth Branagh,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",USA,5 wins & 30 nominations.,77%,57,7.0,"754,037",tt0800369,2011
Rise of the Planet of the Apes,Composing the Score of 'Rise of the Planet of the Apes',2011,N/A,13 Dec 2011,8 min,"Documentary, Short",N/A,Patrick Doyle,USA,N/A,NaN,N/A,N/A,N/A,tt5421794,2011
Captain America: The First Avenger,Captain America: The First Avenger,2011,PG-13,22 Jul 2011,124 min,"Action, Adventure, Sci-Fi",Joe Johnston,"Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones",USA,4 wins & 46 nominations.,80%,66,6.9,"747,024",tt0458339,2011
The Help,The Help,2011,PG-13,10 Aug 2011,146 min,Drama,Tate Taylor,"Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer",USA,Won 1 Oscar. Another 78 wins & 121 nominations.,76%,62,8.0,"431,539",tt1454029,2011
Bridesmaids,Bridesmaids,2011,R,13 May 2011,125 min,"Comedy, Romance",Paul Feig,"Kristen Wiig, Terry Crews, Maya Rudolph, Tom Yi",USA,Nominated for 2 Oscars. Another 25 wins & 70 nominations.,90%,75,6.8,"270,127",tt1478338,2011
Kung Fu Panda 2,Kung Fu Panda 2,2011,PG,26 May 2011,90 min,"Animation, Action, Adventure, Comedy, Family, Fantasy",Jennifer Yuh Nelson,"Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman","USA, China",Nominated for 1 Oscar. Another 5 wins & 46 nominations.,81%,67,7.2,"256,142",tt1302011,2011
X-Men: First Class,X-Men: First Class,2011,PG-13,03 Jun 2011,131 min,"Action, Adventure, Sci-Fi",Matthew Vaughn,"James McAvoy, Laurence Belcher, Michael Fassbender, Bill Milner","USA, UK",21 wins & 39 nominations.,86%,65,7.7,"649,250",tt1270798,2011
Puss in Boots,Puss in Boots,2011,PG,28 Oct 2011,90 min,"Animation, Action, Adventure, Comedy, Family, Fantasy, Mystery",Chris Miller,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton",USA,Nominated for 1 Oscar. Another 9 wins & 42 nominations.,86%,65,6.6,"144,926",tt0448694,2011
Rio,Rio,2011,G,15 Apr 2011,96 min,"Animation, Adventure, Comedy, Crime, Family, Musical",Carlos Saldanha,"Karen Disher, Jason Fricchione, Sofia Scarpa Saldanha, Leslie Mann","USA, Brazil",Nominated for 1 Oscar. Another 3 wins & 30 nominations.,72%,63,6.9,"207,800",tt1436562,2011
The Smurfs,The Smurfs,2011,PG,29 Jul 2011,103 min,"Animation, Adventure, Comedy, Family, Fantasy",Raja Gosnell,"Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofía Vergara","USA, Belgium, Canada, France",2 wins & 8 nominations.,21%,30,5.4,"84,440",tt0472181,2011
Super 8,Super 8,2011,PG-13,10 Jun 2011,112 min,"Mystery, Sci-Fi, Thriller",J.J. Abrams,"Joel Courtney, Jessica Tuck, Joel McKinnon Miller, Ryan Lee",USA,11 wins & 70 nominations.,81%,72,7.0,"339,624",tt1650062,2011
Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,2011,PG-13,16 Dec 2011,129 min,"Action, Adventure, Mystery",Guy Ritchie,"Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams","USA, UK",3 wins & 11 nominations.,59%,48,7.5,"422,876",tt1515091,2011
Rango,Rango,2011,PG,04 Mar 2011,107 min,"Animation, Adventure, Comedy, Family, Western",Gore Verbinski,"Johnny Depp, Isla Fisher, Abigail Breslin, Ned Beatty","USA, Canada",Won 1 Oscar. Another 45 wins & 25 nominations.,88%,75,7.2,"238,915",tt1192628,2011
Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,2011,PG-13,21 Dec 2011,132 min,"Action, Adventure, Thriller",Brad Bird,"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner",USA,5 wins & 30 nominations.,93%,73,7.4,"459,417",tt1229238,2011
The King's Speech,The King's Speech,2010,R,25 Dec 2010,118 min,"Biography, Drama, History",Tom Hooper,"Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal","UK, USA, Australia",Won 4 Oscars. Another 104 wins & 206 nominations.,94%,88,8.0,"643,782",tt1504320,2011
Horrible Bosses,Horrible Bosses,2011,R,08 Jul 2011,98 min,"Comedy, Crime",Seth Gordon,"Jason Bateman, Steve Wiebe, Kevin Spacey, Charlie Day",USA,3 wins & 13 nominations.,69%,57,6.9,"423,254",tt1499658,2011
Green Lantern,Green Lantern,2011,PG-13,17 Jun 2011,114 min,"Action, Adventure, Sci-Fi",Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong",USA,3 wins & 6 nominations.,26%,39,5.5,"267,940",tt1133985,2011
Hop,Hop,2011,PG,01 Apr 2011,95 min,"Animation, Adventure, Comedy, Family, Fantasy",Tim Hill,"James Marsden, Russell Brand, Kaley Cuoco, Hank Azaria","USA, France, Japan",2 nominations.,24%,41,5.4,"31,450",tt1411704,2011
Paranormal Activity 3,Paranormal Activity 3,2011,R,21 Oct 2011,83 min,"Horror, Mystery","Henry Joost, Ariel Schulman","Lauren Bittner, Christopher Nicholas Smith, Chloe Csengery, Jessica Tyler Brown",USA,1 win & 6 nominations.,66%,59,5.8,"90,631",tt1778304,2011
