Vehicle,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Acura ILX,,,0.0,12251.0,20430.0,17854.0,18531.0,14597.0,11757.0,11273.0,14685.0,13414.0
Acura ILX,,,0.0,11279.0,20430.0,17854.0,18531.0,14597.0,11757.0,11273.0,14685.0,13414.0
Acura ILX Hybrid,,,0.0,972.0,,,,,,,,
Acura MDX,31178.0,47210.0,43271.0,50854.0,53040.0,65603.0,58208.0,55495.0,54886.0,51512.0,52019.0,47816.0
Acura NSX,,,,,,,0.0,269.0,581.0,170.0,238.0,128.0
Acura RDX,10153.0,14975.0,15196.0,29520.0,44750.0,44865.0,51026.0,52361.0,51295.0,63580.0,62876.0,52785.0
Acura RL,2043.0,2037.0,1096.0,379.0,,,,,,,,
Acura RLX,,,,,,3413.0,2195.0,1478.0,1237.0,1931.0,1019.0,1054.0
Acura RLX/RL ³,,,,,5053.0,3413.0,,,,,,
Acura RLX/RL ‡,,,,379.0,5053.0,,,,,,,
Acura TL,33620.0,34049.0,31237.0,33572.0,24318.0,10616.0,88.0,0.0,,,,
Acura TLX,,,,,0.0,19127.0,47080.0,37156.0,34846.0,30468.0,26548.0,21785.0
Acura TSX,28650.0,32076.0,30935.0,28865.0,17484.0,6287.0,35.0,4.0,,,,
Acura TSX Sedan,,,27725.0,24631.0,,,,,,,,
Acura TSX Sedan *,,,,24631.0,15508.0,5647.0,,,,,,
Acura TSX Sport Wagon,,,3210.0,4234.0,,,,,,,,
Acura TSX SportWagon *,,,,4234.0,1976.0,640.0,,,,,,
Acura ZDX,79.0,3259.0,1564.0,775.0,361.0,78.0,2.0,0.0,,,,
Alfa Romeo 4C,,,,,0.0,91.0,663.0,480.0,407.0,238.0,145.0,99.0
Alfa Romeo Giulia,,,,,,,0.0,36.0,8903.0,11519.0,8705.0,8204.0
Alfa Romeo Stelvio,,,,,,,,0.0,2721.0,12043.0,9444.0,10282.0
Audi A3,3874.0,6558.0,6561.0,7205.0,857.0,22250.0,35984.0,31538.0,20733.0,18305.0,10418.0,9938.0
Audi A3 e-tron,,,,,,,,4280.0,2877.0,,,
Audi A4,37070.0,34672.0,35234.0,38530.0,42130.0,38679.0,31831.0,36987.0,37674.0,34311.0,26435.0,18342.0
Audi A4 Allroad,,,0.0,3115.0,,,,,,,,
Audi A4 Allroad *,,,,4367.0,5386.0,4686.0,2818.0,2300.0,,,,
Audi A4 Avant,,,3505.0,1252.0,,,,,,,,
Audi A4 Sedan,,,31729.0,34163.0,,,,,,,,
Audi A4 Sedan *,,,,,,33993.0,29013.0,34687.0,,,,
Audi A4 Sedan/Avant *,,,,34163.0,36744.0,33993.0,,,,,,
Audi A5,9800.0,16379.0,15385.0,17270.0,18664.0,16620.0,12934.0,8354.0,21301.0,25972.0,23023.0,18827.0
Audi A6,6786.0,8675.0,11124.0,18998.0,22428.0,23941.0,22850.0,18686.0,16304.0,10561.0,17807.0,10536.0
Audi A7,,0.0,6270.0,8598.0,8483.0,8133.0,7721.0,6558.0,4810.0,3852.0,4955.0,2859.0
Audi A8,1463.0,1521.0,5700.0,6002.0,6300.0,5904.0,4990.0,4149.0,3127.0,1599.0,2963.0,2375.0
Audi Q3,,,,,0.0,3654.0,13229.0,20048.0,20633.0,16828.0,14822.0,27252.0
