Vehicle,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Acura ILX,,,,12251,20430,17854,18531,14597,11757,11273,14685,13414
Acura MDX,31178,47210,43271,50854,53040,65603,58208,55495,54886,51512,52019,47816
Acura NSX,,,,,,,,269,581,170,238,128
Acura RDX,10153,14975,15196,29520,44750,44865,51026,52361,51295,63580,62876,52785
Acura RL,2043,2037,1096,379,39,,,,,,,
Acura RLX,,,,,5014,3413,2195,1478,1237,1931,1019,1054
Acura TL,33620,34049,31237,33572,24318,10616,88,,,,,
Acura TLX,,,,,,19127,47080,37156,34846,30468,26548,21785
Acura TSX,28650,32076,30935,28865,17484,6287,35,4,,,,
Acura ZDX,79,3259,1564,775,361,78,2,,,,,
Alfa Romeo 4C,,,,,,91,663,480,407,238,145,99
Alfa Romeo Giulia,,,,,,,,36,8903,11519,8705,8204
Alfa Romeo Stelvio,,,,,,,,,2721,12043,9444,10282
Audi A3,3874,6558,6561,7205,857,22250,35984,31538,20733,18305,10418,9938
Audi A3 e-tron,,,,,,,,4280,2877,,,
Audi A4,37070,34672,35234,38530,42130,38679,31831,36987,37674,34311,26435,18342
Audi A4 Allroad,,,,3115,5386,4686,2818,2300,3240,255,,
Audi A4 Avant,,,3505,1252,,,,,,,,
Audi A4 Sedan,,,31729,34163,36744,33993,29013,34867,,,,
Audi A5,9800,16379,15385,17270,18664,16620,12934,8354,21301,25972,23023,18827
Audi A6,6786,8675,11124,18998,22428,23941,22850,18686,16304,10561,17807,10536
Audi A7,,,6270,8598,8483,8133,7721,6558,4810,3852,4955,2859
Audi A8,1463,1521,5700,6002,6300,5904,4990,4149,3127,1599,2963,2375
Audi Q3,,,,,,3654,13229,20048,20633,16828,14822,27252
Audi Q5,13790,23518,24908,28671,40355,42420,52006,49550,57640,69978,67516,50435
Audi Q7,7299,7976,8998,11008,15978,18517,18995,30563,38346,37417,34649,25372
Audi Q8,,,,,,,,,,2029,14256,12072
Audi R8,699,799,1145,802,813,735,495,736,772,927,574,583
Audi TT,1935,1531,2236,2226,2053,1158,1167,3044,2294,1289,1324,832
Audi eTron,,,,,,,,,,,5369,7202
BMW 1-Series,11182,13132,8832,7689,7220,,,,,,,
BMW 2-Series,,,,,,7345,13020,15519,11737,9208,8015,14616
BMW 3-Series,90960,100910,94371,99602,119521,100970,94540,70458,59449,44578,47827,39290
BMW 4-Series,,,,,,,46069,35763,39634,31379,18621,12357
BMW 5-Series,40109,39488,51491,56798,56863,52704,44162,32408,40658,43937,38709,25515
BMW 6-Series,3549,2418,3903,8208,9762,8647,8146,3947,3355,3762,1139,1960
BMW 7-Series,9254,12253,11299,11098,10932,9744,9292,12918,9276,8271,8823,6443
BMW 8-Series,,,,,,,,,,223,4410,7714
BMW X1,,,,8947,26512,22808,14420,27812,30826,29057,17815,14368
BMW X2,,,,,,,,,,16154,11293,7368
BMW X3,6067,6075,27793,35173,30623,33824,31924,44196,40691,61351,70110,59777
BMW X4,,,,,,2709,6429,4989,5198,4323,8758,7662
BMW X5,27071,35776,40547,44445,39818,47031,54997,47641,50815,45013,54595,50642
BMW X6,4787,6257,6192,6749,5549,3896,7906,7117,6780,6862,4240,7313
BMW X7,,,,,,,,,,,21574,23230
BMW Z4,3523,3804,3479,2751,2480,2151,1829,1187,502,4,2941,2364
BMW i3,,,,,,6092,11024,7625,6276,6120,4853,1502
BMW i8,,,,,,555,2265,1594,488,772,1102,192
Bentley Bentayga,,,,,,,,884,1152,,,
Bentley Continental GT,,,,,,,1701,1144,898,,,
Bentley Flying Spur,,,,,,,791,400,257,,,
Bentley Mulsanne,,,,,,,194,153,98,,,
Buick Cascada,,,,,,,,7153,5595,4628,2535,12
Buick Enclave,43150,55426,58392,56703,60534,62300,62081,52028,48564,49648,51156,38479
Buick Encore,,,,,31956,48892,67549,78565,88035,93071,102401,44353
Buick Encore GX,,,,,,,,,,,,42240
Buick Envision,,,,,,,,14193,41040,30153,33230,34943
Buick LaCrosse,27818,61178,58474,57076,48798,51468,42035,27582,20161,15527,7241,229
Buick Lucerne,31292,26459,20358,971,9,,,,,,,
Buick Regal,,12326,40144,24616,18685,22560,19504,19833,11559,14117,10363,2493
Buick Verano,,,265,41042,45527,43743,31886,30277,4277,210,,
Cadillac ATS,,,,7008,38319,29890,26873,21505,13100,10860,1134,115
Cadillac CT4,,,,,,,,,,,,4888
Cadillac CT5,,,,,,,,,,,43,14712
Cadillac CT6,,,,,,,,9169,10542,9669,7952,3117
Cadillac CTS,38817,45656,55042,46979,32343,31115,19485,15911,10344,11220,6966,611
Cadillac DTS,17330,18640,11589,465,19,,,,,,,
Cadillac ELR,,,,,6,1310,1024,534,17,,,
Cadillac Escalade,25884,26874,25503,22632,22514,30522,35923,39092,37694,36032,35424,24545
Cadillac SRX,20237,51094,56905,57485,56776,53578,68850,22139,156,6,,
Cadillac STS,6037,4473,3338,164,7,,,,,,,
Cadillac XLR,787,188,12,,,,,,,,,
Cadillac XT4,,,,,,,,,,7785,31987,22473
Cadillac XT5,,,,,,,,39485,68312,60566,49878,35224
Cadillac XT6,,,,,,,,,,,11560,22610
Cadillac XTS,,,,15049,32559,24335,23112,22171,16275,17729,11306,1200
Chevrolet Avalanche,16432,20515,20088,23995,16526,92,8,,,,,
Chevrolet Aveo,38516,48623,28601,67,2,,,,,,,
Chevrolet Blazer,,,,,,,,,,27,58116,94598
Chevrolet Bolt,,,,,,,,579,23297,18020,16419,20753
Chevrolet Camaro,61648,81299,88249,84391,80567,86297,77502,72705,67940,50963,48266,29777
Chevrolet Caprice PPV,,,880,3734,3899,3727,1845,1021,693,75,,
Chevrolet Captiva Sport,,,7038,36935,47600,35368,55,2,,,,
Chevrolet City Express,,,,,,530,10283,7019,8348,6341,4495,4637
Chevrolet Cobalt,104724,97376,856,11,,,,,,,,
Chevrolet Colorado,32413,24642,31026,36840,3412,8003,84430,108725,112996,134842,121703,96236
Chevrolet Corvette,13934,12624,13164,14132,17291,34839,33329,29995,25079,18789,17988,21627
Chevrolet Cruze,,24495,231732,237758,248224,273060,226602,188876,184751,142618,47975,783
Chevrolet Equinox,86148,149979,193274,218621,238192,242242,277589,242195,290458,332621,346049,270994
Chevrolet Express,,,,,79087,79352,63382,68007,69164,66963,77457,55040
Chevrolet HHR,70842,75401,37012,21,3,,,,,,,
Chevrolet Impala,165565,172078,171434,169351,156797,140280,116825,97006,75877,56557,44978,9943
Chevrolet Malibu,161568,198770,204808,210951,200594,188519,194854,227881,185857,144542,120302,102652
Chevrolet SS,,,,,418,2479,2895,3013,4055,,,
Chevrolet Silverado,316544,370135,415130,418312,480414,529755,600544,574876,585864,585582,575569,593057
Chevrolet Sonic,,,15778,81247,85646,93518,64775,55255,30290,20613,13970,13007
Chevrolet Spark,,,,12385,34130,39159,32853,35511,22589,23603,31280,33480
Chevrolet Suburban,41055,45152,49427,48116,51260,55009,50866,60082,56516,60633,51928,33644
Chevrolet Tahoe,73254,75675,80527,68904,83502,97726,88342,103306,98961,104152,101189,88237
Chevrolet TrailBlazer,8829,218,33,,,,,,,,,34292
Chevrolet Traverse,91074,106744,107131,85606,96467,103943,119945,116701,123506,146264,147122,125546
Chevrolet Trax,,,,,,739,63030,79016,79289,89917,116817,106299
Chevrolet Uplander,1758,76,,,,,,,,,,
Chevrolet Volt,,326,7671,23461,23094,18805,15393,24739,20349,18306,4911,68
Chrysler 200,,255,87033,125476,122480,117363,177889,57294,18457,1043,48,9
Chrysler 300,38606,37116,36285,70747,57724,53382,53109,53241,51237,46593,29214,16473
Chrysler Aspen,5996,30,,,,,,,,,,
Chrysler PT Cruiser,17941,9440,1328,,,,,,,,,
Chrysler Pacifica,,,,,,,,62366,118274,118322,97706,84113
Chrysler Sebring,27460,35585,2380,,,,,,,,,
Chrysler Town & Country,84558,112275,94320,111744,122288,138040,93848,59071,577,6,,
Chrysler Town and Country,,,,,,,,,,,,9690
Dodge Avenger,38922,50923,64023,96890,93842,51705,1268,45,14,,,
