Year,Vehicle Original,Vehicle,Sales,% Change,Change,Car,Stars,Highest Star,Strong Appearance,Weak Appearance,Total Appearance,Release,Rank,Best Rank,Gross,Distributor
2010,acura mdx,acura mdx,47210,0.514208737,Positive,2007 acura mdx,1.0,1.0,0.0,2.0,2.0,The Other Guys,18.0,18.0,"$119,219,978 ",Sony Pictures Entertainment (SPE)
2010,acura rdx,,14975,0.474933517,Positive,,,,,,,,,,,
2010,acura rl,,2037,-0.002936858,Negative,,,,,,,,,,,
2010,acura tl,acura tl,34049,0.012760262,Positive,1999 acura tl,1.0,1.0,0.0,3.0,3.0,The Other Guys,18.0,18.0,"$119,219,978 ",Sony Pictures Entertainment (SPE)
2010,acura tsx,acura tsx,32076,0.119581152,Positive,2009 acura tsx,1.0,1.0,0.0,1.0,1.0,Jackass 3D,21.0,21.0,"$117,052,883 ",Paramount Pictures
2010,acura zdx,acura zdx,3259,40.25316456,Positive,2010 acura zdx,2.0,2.0,0.0,1.0,1.0,Iron Man 2,4.0,4.0,"$312,433,331 ",Paramount Pictures
2010,audi a3,audi a3,6558,0.692823955,Positive,2009 audi a3 cabriolet,2.0,2.0,0.0,2.0,2.0,Letters to Juliet,63.0,63.0,"$53,032,453 ",Summit Entertainment
2010,audi a4,audi a4,34672,-0.064688427,Negative,2005 audi a4 b7,2.0,2.0,0.0,3.0,3.0,Daybreakers,100.0,100.0,"$30,101,577 ",Lionsgate
2010,audi a5,audi a5,16379,0.671326531,Positive,2009 audi a5 sportback b8,2.0,2.0,0.0,2.0,2.0,The American,89.0,89.0,"$35,606,376 ",Focus Features
2010,audi a6,audi a6,8675,0.278367227,Positive,2005 faw-audi a6 l c6,2.0,2.0,0.0,2.0,2.0,The Karate Kid,11.0,11.0,"$176,591,618 ",Sony Pictures Entertainment (SPE)
2010,audi a8,audi a8,1521,0.039644566,Positive,2008 audi a8 l d3,3.0,3.0,1.0,1.0,2.0,Iron Man 2,4.0,4.0,"$312,433,331 ",Paramount Pictures
2010,audi q5,,23518,0.7054387240000001,Positive,,,,,,,,,,,
2010,audi q7,,7976,0.092752432,Positive,,,,,,,,,,,
2010,audi r8,audi r8,799,0.143061516,Positive,2008 audi r8,4.0,4.0,2.0,0.0,2.0,Date Night,28.0,28.0,"$98,711,404 ",Twentieth Century Fox
2010,audi tt,audi tt,1531,-0.20878553,Negative,2000 audi tt,1.0,1.0,0.0,2.0,2.0,Salt,19.0,19.0,"$118,311,368 ",Sony Pictures Entertainment (SPE)
2010,bmw 1-series,bmw 1,13132,0.174387408,Positive,2008 bmw 1 cabriolet [e88],1.0,1.0,0.0,1.0,1.0,Cop Out,73.0,73.0,"$44,875,481 ",Warner Bros.
2010,bmw 3-series,bmw 3,100910,0.109388742,Positive,bmw 3 [e90],1.0,1.0,0.0,20.0,20.0,Iron Man 2,4.0,4.0,"$312,433,331 ",Paramount Pictures
2010,bmw 5-series,bmw 5,39488,-0.015482808999999998,Negative,2001 bmw 525i [e39],2.0,2.0,0.0,18.0,18.0,Eat Pray Love,38.0,38.0,"$80,574,010 ",Sony Pictures Entertainment (SPE)
2010,bmw 6-series,,2418,-0.31868131899999996,Negative,,,,,,,,,,,
2010,bmw 7-series,bmw 7,12253,0.324076075,Positive,2006 bmw 750li [e66],4.0,4.0,1.0,9.0,10.0,The Blind Side,57.0,57.0,"$59,396,157 ",Warner Bros.
