Release,Year,Car,url,Stars
Finding Dory,2016,2012 Fiat 500 ,vehicle_971233-Fiat-500-312-2012.html,1
Finding Dory,2016,1998 Ford Crown Victoria ,vehicle_971232-Ford-Crown-Victoria-P71-1998.html,1
Finding Dory,2016,1985 Ford F-Series ,vehicle_927503-Ford-F-Series-1985.html,3
Finding Dory,2016,1989 GMC Jimmy ,vehicle_971234-GMC-Jimmy-K-1500-1989.html,1
Finding Dory,2016,Grumman-Olson Kurbmaster ,vehicle_971241-Grumman-Olson-Kurbmaster.html,1
Finding Dory,2016,2007 Jeep Wrangler ,vehicle_971235-Jeep-Wrangler-JK-2007.html,1
Finding Dory,2016,1997 Mercury Mountaineer ,vehicle_971236-Mercury-Mountaineer-UN105-1997.html,1
Finding Dory,2016,Opel Meriva [A] ,vehicle_971246-Opel-Meriva.html,2
Finding Dory,2016,Subaru Forester ,vehicle_971240-Subaru-Forester-SF.html,1
Finding Dory,2016,1979 Toyota Truck ,vehicle_971238-Toyota-Truck-RN30-1979.html,1
Finding Dory,2016,1962 Volkswagen Sedan [Typ 1] ,vehicle_919228-Volkswagen-Sedan-Typ-1-1962.html,1
Finding Dory,2016,1986 Yugo GV ,vehicle_971242-Yugo-GV-102-1986.html,1
Rogue One: A Star Wars Story,2016,Made for Movie ,vehicle_1017324-Made-for-Movie.html,1
Rogue One: A Star Wars Story,2016,Made for Movie HAVw A6 Juggernaut ,vehicle_1017323-Made-for-Movie-HAVw-A6-Juggernaut.html,2
Rogue One: A Star Wars Story,2016,Made for Movie TX-225 GAVw Occupier ,vehicle_904256-Made-for-Movie-TX-225-GAVw-Occupier.html,2
Captain America: Civil War,2016,1967 Alfa Romeo A 12 ,vehicle_954945-Alfa-Romeo-A-12-1967.html,1
Captain America: Civil War,2016,2006 Alfa Romeo Brera ,vehicle_1285153-Alfa-Romeo-Brera-2006.html,2
Captain America: Civil War,2016,2001 Audi A4 B6 ,vehicle_1285151-Audi-A4-Typ-8E-2001.html,2
Captain America: Civil War,2016,2016 Audi A4 B9 ,vehicle_955042-Audi-A4-Typ-8W-2016.html,2
Captain America: Civil War,2016,2015 Audi A7 Sportback C7 ,vehicle_955043-Audi-A7-Sportback-Typ-4GA-2015.html,1
Captain America: Civil War,2016,2014 Audi A8 D4 ,vehicle_955033-Audi-A8-Typ-4H-2014.html,1
Captain America: Civil War,2016,2014 Audi Prologue ,vehicle_955035-Audi-Prologue-2014.html,2
Captain America: Civil War,2016,2006 Audi Q7 ,vehicle_955017-Audi-Q7-Typ-4L-2006.html,2
Captain America: Civil War,2016,2015 Audi R8 ,vehicle_922933-Audi-R8-Typ-4S-2015.html,2
Captain America: Civil War,2016,2012 Audi S8 D4 ,vehicle_866476-Audi-S8-Typ-4H-2012.html,2
Captain America: Civil War,2016,2014 Audi S8 D4 ,vehicle_866324-Audi-S8-Typ-4H-2014.html,2
Captain America: Civil War,2016,2016 Audi SQ7 ,vehicle_866341-Audi-SQ7-Typ-4M-2016.html,3
Captain America: Civil War,2016,2005 BMW 3 [E90] ,vehicle_1285152-BMW-3-E90-2005.html,2
Captain America: Civil War,2016,1996 BMW 5 [E39] ,vehicle_1285147-BMW-5-E39-1996.html,2
Captain America: Civil War,2016,2001 BMW 5 Touring [E39] ,vehicle_955000-BMW-5-Touring-E39-2001.html,2
Captain America: Civil War,2016,2004 BMW 525d Touring [E61] ,vehicle_955011-BMW-525d-Touring-E61-2004.html,1
Captain America: Civil War,2016,2006 BMW R 1200 RT-P ,vehicle_866326-BMW-R-1200-RT-P-2006.html,2
Captain America: Civil War,2016,2008 BMW X6 [E71] ,vehicle_955021-BMW-X6-E71-2008.html,2
Captain America: Civil War,2016,1975 Buick Apollo ,vehicle_955366-Buick-Apollo-1975.html,1
Captain America: Civil War,2016,1969 Buick LeSabre ,vehicle_955368-Buick-LeSabre-45237-1969.html,1
Captain America: Civil War,2016,1990 Cadillac Brougham ,vehicle_915312-Cadillac-Brougham-1990.html,3
Captain America: Civil War,2016,2001 Chevrolet Venture ,vehicle_896136-Chevrolet-Venture-GMT200-2001.html,Nan
Captain America: Civil War,2016,1994 Chrysler Grand Voyager ,vehicle_910950-Chrysler-Grand-Voyager-1994.html,1
Captain America: Civil War,2016,2000 Chrysler Neon ,vehicle_866337-Chrysler-Neon-PL-2000.html,1
Captain America: Civil War,2016,2008 Citroën C2 ,vehicle_955022-Citroen-C2-2008.html,2
Captain America: Civil War,2016,2005 Dacia Logan ,vehicle_866329-Dacia-Logan-X90-2005.html,1
Captain America: Civil War,2016,2005 Dacia Logan ,vehicle_955014-Dacia-Logan-X90-2005.html,2
Captain America: Civil War,2016,2008 Dacia Logan ,vehicle_955023-Dacia-Logan-X90-2008.html,1
Captain America: Civil War,2016,Dacia Logan Van ,vehicle_866331-Dacia-Logan-Van-X90.html,1
Captain America: Civil War,2016,2002 Dodge Ram ,vehicle_955002-Dodge-Ram-2002.html,1
Captain America: Civil War,2016,1998 Dodge Ram Van ,vehicle_954980-Dodge-Ram-Van-1998.html,1
Captain America: Civil War,2016,1973 Fiat 124 ,vehicle_955509-Fiat-124-124A-1973.html,1
Captain America: Civil War,2016,Ford Crown Victoria ,vehicle_896142-Ford-Crown-Victoria.html,1
Captain America: Civil War,2016,1995 Ford Escort MkVI ,vehicle_896143-Ford-Escort-1995.html,1
Captain America: Civil War,2016,2000 Ford Fiesta MkIV ,vehicle_910956-Ford-Fiesta-2000.html,1
Captain America: Civil War,2016,2000 Ford Focus ,vehicle_1285150-Ford-Focus-2000.html,2
Captain America: Civil War,2016,Ford Focus MkI ,vehicle_910960-Ford-Focus.html,1
Captain America: Civil War,2016,1999 Ford Focus Turnier MkI ,vehicle_954987-Ford-Focus-Turnier-1999.html,1
Captain America: Civil War,2016,2010 Ford Fusion ,vehicle_955025-Ford-Fusion-CD338-2010.html,2
Captain America: Civil War,2016,Ford Ka MkI ,vehicle_866332-Ford-Ka.html,1
Captain America: Civil War,2016,1993 Ford Ranger ,vehicle_866335-Ford-Ranger-PN105-1993.html,2
Captain America: Civil War,2016,2014 Ford Tourneo Connect MkII ,vehicle_955038-Ford-Tourneo-Connect-2014.html,1
Captain America: Civil War,2016,2015 Ford Transit ,vehicle_955044-Ford-Transit-2015.html,1
Captain America: Civil War,2016,1991 Freightliner FL-Series ,vehicle_896138-Freightliner-FL-Series-1991.html,Nan
Captain America: Civil War,2016,GHH AM-350 ,vehicle_1285155-GHH-AM-350.html,1
Captain America: Civil War,2016,2003 GMC Savana ,vehicle_955003-GMC-Savana-GMT610-2003.html,2
Captain America: Civil War,2016,Harley-Davidson FXDL Dyna Low Rider ,vehicle_954930-Harley-Davidson-FXDL-Dyna-Low-Rider.html,3
Captain America: Civil War,2016,Harley-Davidson Street 750 ,vehicle_866325-Harley-Davidson-Street-750.html,3
Captain America: Civil War,2016,2001 Honda Odyssey ,vehicle_896139-Honda-Odyssey-RL1-2001.html,Nan
Captain America: Civil War,2016,2012 Hyundai Accent ,vehicle_955028-Hyundai-Accent-RB-2012.html,1
Captain America: Civil War,2016,International 4000-Series ,vehicle_954929-International-4000-Series.html,2
Captain America: Civil War,2016,International DuraStar ,vehicle_885555-International-DuraStar.html,1
Captain America: Civil War,2016,International Durastar ,vehicle_955258-International-Durastar.html,2
Captain America: Civil War,2016,1995 Isuzu NPR ,vehicle_954976-Isuzu-NPR-1995.html,2
Captain America: Civil War,2016,2008 Isuzu NPR ,vehicle_896148-Isuzu-NPR-2008.html,2
Captain America: Civil War,2016,1987 Isuzu Trooper ,vehicle_954969-Isuzu-Trooper-UBS-1987.html,2
Captain America: Civil War,2016,1996 Lancia Y ,vehicle_1285148-Lancia-Y-840-1996.html,1
Captain America: Civil War,2016,Land-Rover Discovery Series III ,vehicle_896147-Land-Rover-Discovery-L319.html,1
Captain America: Civil War,2016,LMC 1200C ST ,vehicle_954931-LMC-1200C-ST.html,2
Captain America: Civil War,2016,Made for Movie ,vehicle_896149-Made-for-Movie.html,3
Captain America: Civil War,2016,1977 MAN KAT 1 5t ,vehicle_954952-MAN-KAT-1-5t-1977.html,2
Captain America: Civil War,2016,2005 MAN Lion's City ,vehicle_896151-MAN-Lion-s-City-A21-2005.html,2
Captain America: Civil War,2016,2005 MAN Lion's City G ,vehicle_955015-MAN-Lion-s-City-G-A23-2005.html,1
Captain America: Civil War,2016,1998 Mazda B-Series ,vehicle_954983-Mazda-B-Series-UN-1998.html,2
Captain America: Civil War,2016,1977 Mercedes-Benz [W123] ,vehicle_954954-Mercedes-Benz-W123-1977.html,1
Captain America: Civil War,2016,1998 Mercedes-Benz A-Klasse [W168] ,vehicle_1285149-Mercedes-Benz-A-Klasse-W168-1998.html,1
Captain America: Civil War,2016,2003 Mercedes-Benz CLK [C209] ,vehicle_955005-Mercedes-Benz-CLK-C209-2003.html,1
Captain America: Civil War,2016,2016 Mercedes-Benz G-Klasse [W463] ,vehicle_955032-Mercedes-Benz-G-Klasse-W463-2016.html,1
Captain America: Civil War,2016,Mercedes-Benz Sprinter [W906] ,vehicle_866336-Mercedes-Benz-Sprinter-W906.html,2
Captain America: Civil War,2016,Mercedes-Benz Sprinter [W906] ,vehicle_955345-Mercedes-Benz-Sprinter-W906.html,1
Captain America: Civil War,2016,1995 Mercedes-Benz Sprinter [T1N] ,vehicle_1285145-Mercedes-Benz-Sprinter-T1N-1995.html,1
Captain America: Civil War,2016,2006 Mercedes-Benz Sprinter [W906] ,vehicle_955018-Mercedes-Benz-Sprinter-W906-2006.html,2
Captain America: Civil War,2016,2006 Mercedes-Benz Sprinter [W906] ,vehicle_1285154-Mercedes-Benz-Sprinter-W906-2006.html,1
Captain America: Civil War,2016,2010 Mercedes-Benz Sprinter [W906] ,vehicle_955019-Mercedes-Benz-Sprinter-W906-2010.html,1
Captain America: Civil War,2016,2014 Mercedes-Benz Sprinter [W906] ,vehicle_955039-Mercedes-Benz-Sprinter-W906-2014.html,2
Captain America: Civil War,2016,2014 Mercedes-Benz Vito Tourer [W447] ,vehicle_955041-Mercedes-Benz-Vito-Tourer-W447-2014.html,2
Captain America: Civil War,2016,2000 Mitsubishi Carisma ,vehicle_910953-Mitsubishi-Carisma-DA-2000.html,1
Captain America: Civil War,2016,1995 Mitsubishi Colt ,vehicle_910949-Mitsubishi-Colt-1995.html,1
Captain America: Civil War,2016,Mulag MEF 9 ,vehicle_954940-Mulag-MEF-9.html,2
Captain America: Civil War,2016,2012 Nissan NV 2500 HD ,vehicle_910653-Nissan-NV-2500-HD-2012.html,2
Captain America: Civil War,2016,2015 Nissan NV200 ,vehicle_955045-Nissan-NV200-M20-2015.html,1
