2011 Rank,Vehicle,2011 Year End,2010 Year End,% Change
#1,Ford F-Series,584917,528349,+ 10.7%
#2,Chevrolet Silverado,415130,370135,+ 12.2%
#3,Toyota Camry,308510,327804,– 5.9%
#4,Nissan Altima,268981,229263,+ 17.3%
#5,Ford Escape,254293,191026,+ 33.1%
#6,Honda Accord/Crosstour,253599,311381,– 18.6%
#7,Ford Fusion,248067,219219,+ 13.2%
#8,Dodge Ram,244763,199652,+ 22.6%
#9,Toyota Corolla/Matrix,240259,266082,– 9.7%
#10,Chevrolet Cruze,231732,24495,+ 846%
#11,Hyundai Sonata,225961,196623,+ 14.9%
#12,Honda Civic,221235,260218,– 15.0%
#13,Honda CR-V,218373,203714,+ 7.2%
#14,Chevrolet Malibu,204808,198770,+ 3.0%
#15,Chevrolet Equinox,193274,149979,+ 28.9%
#16,Hyundai Elantra,186361,132246,+ 40.9%
#17,Volkswagen Jetta,177360,123213,+ 43.9%
#18,Ford Focus,175717,172421,+ 1.9%
#19,Chevrolet Impala,171434,172078,– 0.4%
#20,GMC Sierra,149170,129794,+ 14.9%
#21,Toyota Prius/Prius V,136463,140928,– 3.2%
#22,Ford Explorer,135704,60687,+ 124%
#23,Toyota RAV4,132237,170877,– 22.6%
#24,Kia Sorento,130235,108985,+ 19.5%
#25,Jeep Grand Cherokee,127744,84635,+ 50.9%
#26,Nissan Rogue,124543,99515,+ 25.1%
#27,Jeep Wrangler,122460,94310,+ 29.8%
#28,Ford Edge,121702,118637,+ 2.6%
#29,Honda Pilot,116297,102323,+ 13.7%
#30,Nissan Sentra,114991,94065,+ 22.2%
#31,Toyota Sienna,111429,98337,+ 13.3%
#32,Dodge Grand Caravan,110862,103323,+ 7.3%
#33,Toyota Tacoma,110705,106198,+ 4.2%
#34,Chevrolet Traverse,107131,106744,+ 0.4%
#35,Honda Odyssey,107068,108182,– 1.0%
#36,Subaru Outback,104405,93148,+ 12.1%
#37,Mazda 3,102417,106353,– 3.7%
#38,Kia Soul,102267,67110,+ 52.4%
#39,Toyota Highlander,101252,92121,+ 9.9%
#40,Nissan Versa,99730,99705,+ 0.02%
#41,BMW 3-Series,94371,100910,– 6.5%
#42,Chrysler Town & Country,94320,112275,– 16.0%
#43,Chrysler 200/Sebring,89413,35585,+ 151.3%
#44,Chevrolet Camaro,88249,81299,+ 8.5%
#45,Kia Optima,84590,27382,+ 209%
#46,GMC Terrain,83179,60519,+ 37.4%
#47,Toyota Tundra,82908,93309,– 11.1%
#48,Lexus RX,82595,95790,– 13.8%
#49,Chevrolet Tahoe,80527,75675,+ 6.4%
#50,GMC Acadia,79288,68295,+ 16.1%
#51,Kia Forte,76295,68500,+ 11.4%
#52,Subaru Forester,76196,85080,– 10.4%
#53,Hyundai Santa Fe,74391,76680,– 3.0%
#54,Ford Ranger,70832,55364,+ 27.9%
#55,Ford Mustang,70438,73716,– 4.4%
#56,Dodge Charger,70089,75397,– 7.0%
#57,Mercedes-Benz C-Class,69314,58785,+ 17.9%
#58,Ford Fiesta,68574,23273,+ 195%
#59,Jeep Liberty,66684,49564,+ 34.5%
#60,Dodge Avenger,64023,50923,+ 25.7%
#61,Ford Taurus,63526,68859,– 7.7%
#62,Mercedes-Benz E-Class,62736,60922,+ 3.0%
#63,Honda Fit,59235,54354,+ 9.0%
#64,Nissan Maxima,58737,60569,– 3.0%
#65,Buick LaCrosse,58474,61178,– 4.4%
#66,Buick Enclave,58392,55426,+ 5.4%
#67,Infiniti G,58246,58143,+ 0.2%
#68,Cadillac SRX,56905,51094,+ 11.4%
#69,Hyundai Accent,55601,51975,+ 7.0%
#70,Dodge Journey,55155,48577,+ 13.5%
#71,Cadillac CTS,55042,45656,+ 20.6%
#72,Jeep Patriot,54647,38620,+ 41.5%
#73,Nissan Murano,53626,53999,– 0.7%
#74,Nissan Frontier,51700,40427,+ 27.9%
#75,Dodge Durango,51697,572,+ 8938%
#76,BMW 5-Series,51491,39488,+ 30.4%
#77,Chevrolet Suburban,49427,45152,+ 9.5%
#78,Jeep Compass,47709,15894,+ 200%
#79,Kia Sportage,47463,23873,+ 98.8%
#80,Hyundai Tucson,47232,39594,+ 19.3%
#81,Ford Crown Victoria,46725,33722,+ 38.6%
#82,Chevrolet Aveo/Sonic,44379,48623,– 8.7%
#83,Toyota 4Runner,44316,46531,– 4.8%
#84,Acura MDX,43271,47210,– 8.3%
#85,Subaru Legacy,42401,38725,+ 9.5%
#86,Subaru Impreza,41196,44395,– 7.2%
#87,Lexus ES350,40873,48652,– 16.0%
#88,Mini Cooper,40828,45069,– 9.4%
#89,BMW X5,40547,35776,+ 13.3%
#90,Ford Expedition,40499,37336,+ 8.5%
#91,Buick Regal,40144,12326,+ 226%
#92,Dodge Challenger,39534,36791,+ 7.5%
#93,Toyota Venza,38904,47321,– 17.8%
#94,Chevrolet HHR,37012,75401,– 50.9%
#95,Chrysler 300,36285,37116,– 2.2%
#96,Nissan Juke,35886,8639,+ 315%
#97,Mercedes-Benz M-Class,35835,26698,+ 20.7%
#98,Mazda 6,35711,35662,+ 0.1%
#99,Mazda CX-7,35641,28788,+ 23.8%
#100,Audi A4,35234,34672,+ 1.6%
