Rank,Vehicle,2015,2014,% Change,Dec. 2015,Dec. 2014,% Change.1
#1,Ford F-Series,780354,753851,3.5%,85211,74355,14.6%
#2,Chevrolet Silverado,600544,529755,13.4%,62992,57837,8.9%
#3,Ram P/U,451116,439789,2.6%,43135,44222,-2.5%
#4,Toyota Camry,429355,428606,0.2%,37299,31618,18.0%
#5,Toyota Corolla,363332,339498,7.0%,32445,30125,7.7%
#6,Honda Accord,355557,388374,-8.5%,35056,31589,11.0%
#7,Honda CR-V,345647,335019,3.2%,31185,32369,-3.7%
#8,Honda Civic,335384,325981,2.9%,32796,25337,29.4%
#9,Nissan Altima,333398,335644,-0.7%,29462,32331,-8.9%
#10,Toyota RAV4,315412,267698,17.8%,31866,22997,38.6%
#11,Ford Escape,306492,306212,0.1%,27954,25603,9.2%
#12,Ford Fusion,300170,306860,-2.2%,25576,23166,10.4%
#13,Nissan Rogue,287190,199199,44.2%,26479,14879,78.0%
#14,Chevrolet Equinox,277589,242242,14.6%,21827,21298,2.5%
#15,Ford Explorer,249251,209994,18.7%,21667,18464,17.3%
#15.1,Ford Explorer *,224309,189339,18.5%,18892,16632,13.6%
#15.2,Ford Explorer Police Interceptor *,24942,20655,20.8%,2775,1832,51.5%
#16,Hyundai Elantra,241706,222023,8.9%,14242,18860,-24.5%
#17,Chevrolet Cruze,226602,273060,-17.0%,16849,17800,-5.3%
#18,GMC Sierra,224139,211833,5.8%,27438,23436,17.1%
#19,Jeep Cherokee,220260,178508,23.4%,24049,17715,35.8%
#20,Hyundai Sonata,213303,216936,-1.7%,22820,17924,27.3%
#21,Nissan Sentra,203509,183268,11.0%,19760,15393,28.4%
#22,Jeep Wrangler,202702,175328,15.6%,15591,14003,11.3%
#23,Ford Focus,202478,219634,-7.8%,11005,14883,-26.1%
#24,Jeep Grand Cherokee,195958,183786,6.6%,21008,17176,22.3%
#25,Chevrolet Malibu,194854,188519,3.4%,12155,16817,-27.7%
#26,Toyota Tacoma,179562,155041,15.8%,17192,14284,20.4%
