Rank,Vehicle,2016,2015,% Change,Dec. 2016,Dec. 2015,% Change.1
#1,Ford F-Series,820799,780354,5.2%,87512,85211,2.7%
#2,Chevrolet Silverado,574876,600544,-4.3%,54272,62992,-13.8%
#3,Ram P/U,489418,450122,8.7%,47556,41398,14.9%
#4,Toyota Camry,388618,429355,-9.5%,33412,37299,-10.4%
#5,Toyota Corolla,378210,368431,2.7%,31209,33692,-7.4%
#5.1,Toyota Corolla Sedan *,360483,363332,-0.8%,29402,32447,-9.4%
#5.2,Toyota Corolla iM *,17727,5099,248%,1807,1245,45.1%
#6,Honda Civic,366927,335384,9.4%,31482,32796,-4.0%
#7,Honda CR-V,357335,345647,3.4%,37778,31185,21.1%
#8,Toyota RAV4,352154,315412,11.6%,37214,31866,16.8%
#9,Honda Accord,345225,355557,-2.9%,33873,35056,-3.4%
#10,Nissan Rogue,329904,287190,14.9%,40477,26479,52.9%
#11,Nissan Altima,307380,333398,-7.8%,24763,29462,-15.9%
#12,Ford Escape,307069,306492,0.2%,25788,27954,-7.7%
#13,Ford Fusion,265840,300170,-11.4%,19132,25576,-25.2%
#14,Ford Explorer,248507,249251,-0.3%,21857,21667,0.9%
#14.1,Ford Explorer *,216294,224309,-3.6%,19030,18892,0.7%
#14.2,Ford Explorer Police Interceptor *,32213,24942,29.2%,2827,2775,1.9%
#15,Chevrolet Equinox,242195,277589,-12.8%,27195,21827,24.6%
#16,Chevrolet Malibu,227881,194854,17.0%,22764,12155,87.3%
#17,GMC Sierra,221680,224139,-1.1%,23290,27438,-15.1%
#18,Nissan Sentra,214709,203509,5.5%,17037,19760,-13.8%
#19,Jeep Grand Cherokee,212273,196312,8.1%,23250,20566,13.1%
#20,Hyundai Elantra,208319,241706,-13.8%,19556,14242,37.3%
#21,Jeep Cherokee,199736,220744,-9.5%,16380,24652,-33.6%
#22,Hyundai Sonata,199416,213303,-6.5%,13802,22820,-39.5%
#23,Jeep Wrangler,191774,202266,-5.2%,15721,15431,1.9%
#24,Toyota Tacoma,191631,179562,6.7%,17514,17192,1.9%
