2012 Rank,2011 Rank,Vehicle,2012 Year End,2011 Year End,% Change
#1,#1,Ford F-Series,645316,584917,+ 10.3%
#2,#2,Chevrolet Silverado,418312,415130,+ 0.8%
#3,#3,Toyota Camry,404886,308510,+ 31.2%
#4,#6,Honda Accord,331872,235625,+ 40.8%
#5,#12,Honda Civic,317909,221235,+ 43.7%
#5.1,#12.1,Honda Civic,310753,216532,+ 43.5%
#5.2,#12.2,Honda Civic Hybrid,7156,4703,+ 52.2%
#6,#4,Nissan Altima,302934,268981,+ 12.6%
#7,#8,Dodge Ram,293363,244762,+ 19.9%
#8,#9,Toyota Corolla/Matrix,290947,240259,+ 21.1%
#9,#13,Honda CR-V,281652,218373,+ 29.0%
#10,#5,Ford Escape,261008,254293,+ 2.6%
#11,#18,Ford Focus,245922,175717,+ 40.0%
#12,#7,Ford Fusion,241263,248067,– 2.7%
#13,#10,Chevrolet Cruze,237758,231732,+ 2.6%
#14,#21,Toyota Prius,236659,136463,+ 73.4%
#14.1,#21.1,Toyota Prius Liftback,147507,128064,+ 15.2%
#14.2,#21.2,Toyota Prius V,40669,8399,+ 384%
#14.3,#21.3,Toyota Prius C ^,35733,—–,—–
#14.4,#21.4,Toyota Prius Plug-In,12750,—–,—–
#15,#16,Hyundai Sonata,230605,225961,+ 2.1%
#16,#15,Chevrolet Equinox,218621,193274,+ 13.1%
#17,#14,Chevrolet Malibu,210951,204808,+ 3.0%
#18,#16,Hyundai Elantra,202034,186361,+ 8.4%
#19,#23,Toyota RAV4,171877,132237,+ 30.0%
#20,#17,Volkswagen Jetta,170424,177360,– 3.9%
#20.1,#17.1,Volkswagen Jetta Sedan,146478,150515,– 2.7%
#20.2,#17.2,Volkswagen Jetta SportWagen,23946,26845,– 10.8%
#21,#19,Chevrolet Impala,169351,171434,– 1.2%
#22,#22,Ford Explorer,164207,135704,+ 21.0%
22.1,22.1,Ford Explorer,158344,135704,+ 16.7%
22.2,22.2,Ford Explorer Police Interceptor,5863,—–,—–
#23,#20,GMC Sierra,157185,149170,+ 5.4%
#24,#25,Jeep Grand Cherokee,154734,127744,+ 21.1%
#25,#45,Kia Optima,152399,84590,+ 80.2%
#26,#26,Nissan Rogue,142349,124543,+ 14.3%
#27,#27,Jeep Wrangler,141669,122460,+ 15.7%
#28,#32,Dodge Grand Caravan,141468,110862,+ 27.6%
#29,#33,Toyota Tacoma,141365,110705,+ 27.7%
#30,#28,Ford Edge,127969,121702,+ 5.1%
#31,#35,Honda Odyssey,125980,107068,+ 17.7%
#32,#43,Chrysler 200,125476,89413,+ 40.3%
#32.1,#44.1,Chrysler 200,125476,87033,+ 44.2%
#32.2,#44.2,Chrysler Sebring,—–,2380,– 100%
#33,#37,Mazda 3,123361,102417,+ 20.4%
#34,#39,Toyota Highlander,121055,101252,+ 19.6%
#35,#24,Kia Sorento,119597,130235,– 8.2%
#36,#36,Subaru Outback,117553,104405,+ 12.6%
#37,#126,Volkswagen Passat,117023,22835,+ 412%
#37.1,#127.1,Volkswagen Passat Sedan,117023,22779,+ 414%
#37.2,#127.2,Volkswagen Passat Wagon,—–,56,– 100%
#38,#38,Kia Soul,115778,102267,+ 13.2%
#39,#29,Honda Pilot,114848,116297,– 1.2%
#40,#31,Toyota Sienna,114725,111429,+ 3.0%
#41,#40,Nissan Versa,113327,99730,+ 13.6%
#42,#42,Chrysler Town & Country,111744,94320,+ 18.5%
#43,#30,Nissan Sentra,106395,114991,– 7.5%
#44,#47,Toyota Tundra,101621,82908,+ 22.6%
#45,#41,BMW 3-Series,99602,94371,+ 5.5%
#46,#46,GMC Terrain,97786,83179,+ 17.6%
#47,#60,Dodge Avenger,96890,64023,+ 51.3%
#48,#48,Lexus RX,95381,82595,+ 15.5%
#49,#34,Chevrolet Traverse,85606,107131,– 20.1%
#50,#44,Chevrolet Camaro,84391,88249,– 4.4%
#51,#55,Ford Mustang,82995,70438,+ 17.8%
#52,#56,Dodge Charger,82592,70089,+ 17.8%
#53,#86,Subaru Impreza,81799,41196,+ 98.6%
#53.1,#87.1,Subaru Impreza,68175,27391,+ 149%
#53.2,#87.2,Subaru Impreza WRX,13624,13805,– 1.3%
#54,#57,Mercedes-Benz C-Class,81697,69314,+ 17.9%
#55,#82,Chevrolet Sonic/Aveo,81314,44379,+ 83.2%
#55.1,#83.1,Chevrolet Sonic,81247,15778,+ 415%
#55.2,#83.1,Chevrolet Aveo,67,28601,– 99.8%
#56,#70,Dodge Journey,79563,55155,+ 44.3%
#57,#50,GMC Acadia,78280,79288,– 1.3%
#58,#52,Subaru Forester,76347,76196,+ 0.2%
#59,#51,Kia Forte,75681,76295,– 0.8%
#60,#59,Jeep Liberty,75483,66684,+ 13.2%
#61,#61,Ford Taurus,74375,63526,+ 17.1%
#61.1,#62.1,Ford Taurus,66066,63526,+ 4.0%
#61.2,#62.2,Ford Taurus Police Interceptor,8309,—–,—–
#62,#53,Hyundai Santa Fe,71016,74391,– 4.5%
#63,#95,Chrysler 300,70747,36285,+ 95.0%
#64,#49,Chevrolet Tahoe,68904,80527,– 14.4%
#65,#62,Mercedes-Benz E-Class,65171,62736,+ 3.9%
