Model,US,US LY,US vs LY,YTD,YTD LY,YTD vs LY
Ford F-Series,89385,87512,2.10,896764,820799,9.30
Chevrolet Silverado,67676,54272,24.70,585864,574876,1.90
Ram P/U,44907,47556,-5.60,500723,489418,2.30
Toyota RAV4,32542,37214,-12.60,407594,352154,15.70
Nissan Rogue,40172,40477,-0.80,403465,329904,22.30
Toyota Camry,43331,33412,29.70,387081,388618,-0.40
Honda CR-V,36983,37778,-2.10,377895,357335,5.80
Honda Civic,31406,31482,-0.20,377286,366927,2.80
Toyota Corolla,19969,31209,-36.00,329196,378210,-13.00
Honda Accord,22115,33873,-34.70,322655,345225,-6.50
Ford Escape,26253,25788,1.80,308296,307069,0.40
Chevrolet Equinox,32784,27195,20.60,290458,242195,19.90
Ford Explorer,28566,21857,30.70,271131,248507,9.10
Nissan Altima,18199,24763,-26.50,254996,307380,-17.00
Jeep Grand Cherokee,23622,23250,1.60,240696,212273,13.40
Nissan Sentra,16834,17037,-1.20,218451,214709,1.70
GMC Sierra,26436,23290,13.50,217943,221680,-1.70
Toyota Highlander,21041,25425,-17.20,215775,191379,12.70
Ford Fusion,17444,19132,-8.80,209623,265840,-21.10
Hyundai Elantra,21350,19556,9.20,198210,208319,-4.90
Toyota Tacoma,18705,17514,6.80,198124,191631,3.40
Jeep Wrangler,13700,15721,-12.90,190522,191774,-0.70
Subaru Outback,18248,20695,-11.80,188886,182898,3.30
Chevrolet Malibu,16628,22764,-27.00,185857,227881,-18.40
Chevrolet Cruze,13406,17324,-22.60,184751,188876,-2.20
Subaru Forester,17441,18015,-3.20,177563,178593,-0.60
Jeep Cherokee,19359,16380,18.20,169882,199736,-14.90
Ford Focus,11237,10242,9.70,158385,168789,-6.20
Ford Edge,13660,12691,7.60,142603,134588,6.00
Hyundai Santa Fe,13146,10862,21.00,133171,131265,1.50
Hyundai Sonata,8508,13802,-38.40,131803,199408,-33.90
Toyota 4Runner,11954,11489,4.00,128296,111970,14.60
Mazda CX-5,14097,11989,17.60,127563,112235,13.70
Ford Transit,12380,13056,-5.20,127360,143244,-11.10
Honda Pilot,18602,12072,54.10,127279,120772,5.40
Dodge Grand Caravan,6623,6687,-1.00,125196,127678,-1.90
Chevrolet Traverse,12313,10381,18.60,123506,116701,5.80
Chrysler Pacifica,11144,10283,8.40,118274,62366,89.60
Kia Forte,7922,7560,4.80,117596,103292,13.80
Subaru Impreza,10461,8064,29.70,117401,88517,32.60
Toyota Tundra,10886,11556,-5.80,116285,115489,0.70
Volkswagen Jetta,7233,13079,-44.70,115807,121107,-4.40
Kia Soul,7610,12427,-38.80,115712,145768,-20.60
Hyundai Tucson,11633,8676,34.10,114735,89713,27.90
Chevrolet Colorado,9626,9431,2.10,112996,108725,3.90
Toyota Sienna,8941,11169,-19.90,111489,127791,-12.80
GMC Acadia,10837,12189,-11.10,111276,88466,25.80
Subaru Crosstrek,12302,10229,20.30,110138,95677,15.10
Toyota Prius,9482,12444,-23.80,108662,136632,-20.50
Lexus RX,13951,14882,-6.30,108307,109435,-1.00
Kia Optima,7081,12572,-43.70,107493,124203,-13.50
Nissan Versa,7125,8918,-20.10,106772,132214,-19.20
Jeep Renegade,7542,12045,-37.40,103434,106606,-3.00
Honda Odyssey,9874,10411,-5.20,100307,120846,-17.00
Kia Sorento,7740,11782,-34.30,99684,114733,-13.10
Chevrolet Tahoe,10271,11897,-13.70,98961,103306,-4.20
Honda HR-V,7543,9034,-16.50,94034,82041,14.60
Dodge Journey,4227,9768,-56.70,89470,106759,-16.20
Dodge Charger,6830,7237,-5.60,88351,95437,-7.40
Buick Encore,8052,7755,3.80,88035,78565,12.10
GMC Terrain,6500,7440,-12.60,85441,87925,-2.80
Jeep Compass,8743,7954,9.90,83253,94061,-11.50
Ford Mustang,7714,7064,9.20,81866,105932,-22.70
Nissan Pathfinder,6053,9368,-35.40,81065,81701,-0.80
Chevrolet Trax,6563,8007,-18.00,79289,79016,0.30
Mercedes-Benz C-Class,6500,7345,-11.50,77447,77167,0.40
Nissan Murano,9718,7881,23.30,76732,86953,-11.80
Chevrolet Impala,8201,10794,-24.00,75877,97006,-21.80
Mazda 3,5669,8102,-30.00,75018,95567,-21.50
Nissan Frontier,5880,6069,-3.10,74360,86926,-14.50
Kia Sportage,5585,6207,-10.00,72824,81066,-10.20
Chevrolet Express,6296,7763,-18.90,69164,68007,1.70
Volkswagen Golf,4529,8968,-49.50,68978,61687,11.80
Dodge Durango,5547,5796,-4.30,68761,68474,0.40
Cadillac XT5,6888,7436,-7.40,68312,39485,73.00
Chevrolet Camaro,3802,7000,-45.70,67940,72705,-6.60
Nissan Maxima,5016,5293,-5.20,67627,62670,7.90
Dodge Challenger,4508,5257,-14.20,64537,64433,0.20
Volkswagen Passat,3015,7241,-58.40,60722,73002,-16.80
BMW 3-Series,5556,6740,-17.60,59449,70458,-15.60
Lexus NX,7410,7375,0.50,59341,54884,8.10
Hyundai Accent,5205,4159,25.20,58955,79766,-26.10
Audi Q5,7531,6396,17.70,57640,49550,16.30
Chevrolet Suburban,5788,7573,-23.60,56516,60082,-5.90
Acura MDX,6076,6243,-2.70,54886,55495,-1.10
Mercedes-Benz GLE-Class,5823,5574,4.50,54595,51791,5.40
Ford E-Series,3911,4753,-17.70,53304,54245,-1.70
Nissan Titan,5582,4396,27.00,52924,21880,141.90
Ford Expedition,5458,5259,3.80,51883,59835,-13.30
Lexus ES,5047,6239,-19.10,51398,58299,-11.80
Mercedes-Benz E / CLS-Class,5385,4851,11.00,51312,50896,0.80
Acura RDX,4808,5945,-19.10,51295,52361,-2.00
Chrysler 300,5726,3584,59.80,51237,53241,-3.80
BMW X5,6847,6245,9.60,50815,47641,6.70
Subaru Legacy,4593,5960,-22.90,49837,65306,-23.70
Honda Fit,3434,4425,-22.40,49454,56630,-12.70
GMC Yukon,8531,6276,35.90,49183,53447,-8.00
Mercedes-Benz GLC-Class,6152,4018,53.10,48643,47872,1.60
Buick Enclave,5326,3800,40.20,48564,52028,-6.70
Volkswagen Tiguan,8061,5575,44.60,46983,43638,7.70
Ford Fiesta,3657,3772,-3.00,46249,48807,-5.20
Toyota Yaris,2111,2757,-23.40,44380,38855,14.20
Ford Taurus,3394,4101,-17.20,41236,44098,-6.50
Buick Envision,6056,3931,54.10,41040,14193,189.20
Infiniti Q50,5583,5794,-3.60,40739,44007,-7.40
BMW X3,4283,4978,-14.00,40691,44196,-7.90
BMW 5-Series,4743,2115,124.30,40658,32408,25.50
Ram ProMaster,3352,4694,-28.60,40483,40440,0.10
Infiniti QX60,4098,4928,-16.80,40444,42120,-4.00
BMW 4-Series,3411,3634,-6.10,39634,35763,10.80
Audi Q7,4838,3275,47.70,38346,30563,25.50
Cadillac Escalade,4452,5472,-18.60,37694,39092,-3.60
Audi A4,4277,4320,-1.00,37674,36987,1.90
Nissan Armada,3368,2474,36.10,35667,14035,154.10
Mitsubishi Outlander,3018,2465,22.40,35310,26576,32.90
GMC Yukon XL,6421,5856,9.60,35059,37054,-5.40
Acura TLX,3101,3621,-14.40,34846,37153,-6.20
Honda Ridgeline,2854,4085,-30.10,34749,23667,46.80
Ford Transit Connect,3973,4493,-11.60,34473,43232,-20.30
Mazda 6,1776,3688,-51.80,33402,45520,-26.60
Mitsubishi Outlander Sport,3678,2500,47.10,33160,33067,0.30
Toyota Avalon,2427,5051,-52.00,32583,48080,-32.20
Mercedes-Benz GLS-Class,2998,3262,-8.10,32248,30442,5.90
Mini Cooper,3070,3803,-19.30,32232,39239,-17.90
GMC Canyon,3467,4048,-14.40,32106,37449,-14.30
Lincoln MKX,2976,3527,-15.60,31031,30967,0.20
Volvo XC90,4771,3308,44.20,30996,35526,-12.80
BMW X1,4454,4185,6.40,30826,27812,10.80
Chevrolet Sonic,1946,6375,-69.50,30290,55255,-45.20
GMC Savana,1954,4316,-54.70,29679,20607,44.00
Tesla Model S †,2400,2200,9.10,28800,26400,9.10
Mercedes-Benz Sprinter,3063,3029,1.10,27415,28320,-3.20
Lincoln MKZ,2293,2650,-13.50,27387,30534,-10.30
Kia Niro,2397,0,0.00,27237,0,0.00
Lexus GX,3325,3474,-4.30,27190,25148,8.10
Volkswagen Atlas,6070,0,0.00,27119,0,0.00
Lincoln MKC,2504,2795,-10.40,27048,25562,5.80
Lexus IS,2777,4432,-37.30,26482,37289,-29.00
Mazda CX-9,3276,2594,26.30,25828,16051,60.90
Toyota C-HR,3866,0,0.00,25755,0,0.00
Chevrolet Corvette,2278,2709,-15.90,25079,29995,-16.40
Mercedes-Benz GLA-Class,2580,2351,9.70,24104,24545,-1.80
Tesla Model X †,2000,1200,66.70,24000,14400,66.70
Kia Sedona,1329,2028,-34.50,23815,44264,-46.20
Chevrolet Bolt,3227,579,0.00,23297,579,0.00
Chevrolet Spark,3079,4257,-27.70,22589,35511,-36.40
Volvo XC60,2421,2783,-13.00,22516,20452,10.10
Ford Flex,1834,3090,-40.60,22389,22668,-1.20
Mitsubishi Mirage,1023,1555,-34.20,22386,22226,0.70
Porsche Macan,1444,1796,-19.60,21429,19332,10.80
Audi A5,2958,591,400.50,21301,8354,155.00
Audi A3,1754,2315,-24.20,20733,27258,-23.90
Mercedes-Benz CLA-Class,2279,1876,21.50,20669,25792,-19.90
Audi Q3,2367,2047,15.60,20633,20048,2.90
Chevrolet Volt,1937,3691,-47.50,20349,24739,-17.70
Buick LaCrosse,1385,2826,-51.00,20161,27582,-26.90
Land Rover Range Rover Sport,1452,2802,-48.20,19153,21612,-11.40
Jaguar F-Pace,1708,1822,-6.30,18946,10016,89.20
Nissan NV200,1574,1538,2.30,18602,18523,0.40
Chrysler 200,332,2643,-87.40,18457,57294,-67.80
Ford C-Max,1416,2184,-35.20,18390,19834,-7.30
Infiniti QX80,2516,2026,24.20,17881,16772,6.60
Nissan NV,1638,1937,-15.40,17858,17873,-0.10
Land Rover Range Rover,1075,2165,-50.30,16869,16155,4.40
Infiniti QX50,1785,2026,-11.90,16857,16973,-0.70
Volvo S60,1338,2666,-49.80,16825,20921,-19.60
Kia Rio,1618,1269,27.50,16760,28700,-41.60
Mazda CX-3,1582,1646,-3.90,16355,18558,-11.90
Audi A6,1970,2016,-2.30,16304,18686,-12.70
Cadillac XTS,1224,3129,-60.90,16275,22171,-26.60
Genesis G80,1542,1354,13.90,16196,6166,162.70
Mercedes-Benz S-Class,2184,1494,46.20,15888,18803,-15.50
Ram ProMaster City,1617,1347,20.00,15584,15972,-2.40
Volkswagen Beetle,835,1596,-47.70,15166,15667,-3.20
Mini Countryman,1541,853,80.70,14864,12706,17.00
Land Rover Discovery Sport,1466,1659,-11.60,14187,14243,-0.40
Infiniti QX30,830,740,12.20,14093,2259,523.90
Porsche Cayenne,940,1099,-14.50,13203,15383,-14.20
Cadillac ATS,1093,2292,-52.30,13100,21505,-39.10
Mitsubishi Lancer,683,860,-20.60,12725,14304,-11.00
Fiat 500,667,1411,-52.70,12685,15437,-17.80
Hyundai Veloster,755,2699,-72.00,12658,30053,-57.90
Toyota Sequoia,1152,1575,-26.90,12156,12771,-4.80
Lincoln Continental,1216,1845,-34.10,12012,5261,128.30
Land Rover Range Rover Evoque,1255,1273,-1.40,11979,11076,8.20
Acura ILX,835,1079,-22.60,11757,14597,-19.50
BMW 2-Series,1188,1085,9.50,11737,15519,-24.40
Buick Regal,1005,1309,-23.20,11559,19833,-41.70
Mazda MX-5 Miata,493,733,-32.70,11294,9465,19.30
Nissan Leaf,102,1899,-94.60,11230,14006,-19.80
Hyundai Ioniq,908,0,0.00,11197,0,0.00
Volvo S90,1148,1127,1.90,11090,2756,302.40
Infiniti Q60,869,1018,-14.60,10751,3970,170.80
Jeep Patriot,240,7809,-96.90,10735,121926,-91.20
Cadillac CT6,841,1293,-35.00,10542,9169,15.00
Lincoln Navigator,1444,1110,30.10,10523,10421,1.00
Cadillac CTS,805,1697,-52.60,10344,15911,-35.00
Nissan Juke,245,1290,-81.00,10157,19577,-48.10
Dodge Dart,139,1525,-90.90,10082,43402,-76.80
Jaguar XE,707,1162,-39.20,9278,6656,39.40
BMW 7-Series,1107,1313,-15.70,9276,12918,-28.20
Porsche 911,773,771,0.30,8970,8901,0.80
Alfa Romeo Giulia,1011,29,0.00,8903,36,24630.60
Chevrolet City Express,923,729,26.60,8348,7019,18.90
Lexus GS,916,1325,-30.90,7773,14878,-47.80
Fiat 500X,673,843,-20.20,7665,11712,-34.60
Mercedes-Benz Metris,984,831,18.40,7579,5984,26.70
Lexus RC,686,1042,-34.20,7363,11165,-34.10
Kia Cadenza,896,428,109.30,7249,4738,53.00
Infiniti QX70,292,1086,-73.10,6878,6261,9.90
Toyota 86/Scion FR-S,425,557,-23.70,6846,7457,-8.20
BMW X6,1005,794,26.60,6780,7117,-4.70
Porsche Panamera,455,36,1163.90,6431,4403,46.10
Land Rover Discovery / LR4,1038,380,173.20,6398,10772,-40.60
BMW i3,672,791,-15.00,6276,7625,-17.70
Land Rover Range Rover Velar,1694,0,0.00,6153,0,0.00
Lexus LX,744,836,-11.00,6004,5707,5.20
Infiniti Q70,406,580,-30.00,5772,5872,-1.70
Buick Cascada,408,629,-35.10,5595,7153,-21.80
