Vehicle,2020 Year End,2019 Year End,% Change 2020
Acura ILX,13414,14685,-8.66
Acura MDX,47816,52019,-8.08
Acura NSX,128,238,-46.22
Acura RDX,52785,62876,-16.05
Acura RLX,1054,1019,3.43
Acura TLX,21785,26548,-17.94
Alfa Romeo 4C,99,145,-31.72
Alfa Romeo Giulia,8204,8705,-5.76
Alfa Romeo Stelvio,10282,9444,8.87
Audi A3,9938,10418,-4.61
Audi A4,18342,26435,-30.61
Audi A5,18827,23023,-18.23
Audi A6,10536,17807,-40.83
Audi A7,2859,4955,-42.3
Audi A8,2375,2963,-19.84
Audi eTron,7202,5369,34.14
Audi Q3,27252,14822,83.86
Audi Q5,50435,67516,-25.3
Audi Q7,25372,34649,-26.77
Audi Q8,12072,14256,-15.32
Audi R8,583,574,1.57
Audi TT,832,1324,-37.16
BMW 2-Series,13209,8015,64.8
BMW 3-Series,39290,47827,-17.85
BMW 4-Series,12357,18621,-33.64
BMW 5-Series,25515,38709,-34.09
BMW 6-Series,1960,1139,72.08
BMW 7-Series,5985,8823,-32.17
BMW 8-Series,7714,4410,74.92
BMW i3,1502,4853,-69.05
BMW i8,192,1102,-82.58
BMW X1,14368,17815,-19.35
BMW X2,7368,11293,-34.76
BMW X3,59777,70110,-14.74
BMW X4,7662,8758,-12.51
BMW X5,50513,54595,-7.48
BMW X6,7291,4240,71.96
BMW X7,23230,21574,7.68
BMW Z4,2364,2941,-19.62
Buick Cascada,12,2535,-99.53
Buick Enclave,38479,51156,-24.78
Buick Encore,44353,102401,-56.69
Buick Encore GX,42240,0,0.0
Buick Envision,34943,33230,5.15
Buick LaCrosse,229,7241,-96.84
Buick Regal,2493,10363,-75.94
Cadillac ATS,115,1134,-89.86
Cadillac CT4,4888,0,0.0
Cadillac CT5,14712,43,34113.95
Cadillac CT6,3117,7952,-60.8
Cadillac CTS,611,6966,-91.23
Cadillac Escalade,24545,35424,-30.71
Cadillac XT4,22473,31987,-29.74
Cadillac XT5,35224,49878,-29.38
Cadillac XT6,22610,11560,95.59
Cadillac XTS,1200,11306,-89.39
Chevrolet Blazer,94598,58116,62.77
Chevrolet Bolt,20753,16419,26.4
Chevrolet Camaro,29777,48266,-38.31
Chevrolet Colorado,96236,121703,-20.93
Chevrolet Corvette,21627,17988,20.23
Chevrolet Cruze,783,47975,-98.37
Chevrolet Equinox,270994,346049,-21.69
Chevrolet Express,55040,77457,-28.94
Chevrolet Impala,9943,44978,-77.89
Chevrolet Malibu,102652,120302,-14.67
Chevrolet Silverado,593057,575569,3.04
Chevrolet Sonic,13007,13970,-6.89
Chevrolet Spark,33480,31280,7.03
Chevrolet Suburban,33644,51928,-35.21
Chevrolet Tahoe,88237,101189,-12.8
Chevrolet TrailBlazer,34292,0,0.0
Chevrolet Traverse,125546,147122,-14.67
Chevrolet Trax,106299,116817,-9.0
Chevrolet Volt,68,4911,-98.62
Chrysler 200,9,48,-81.25
Chrysler 300,16473,29214,-43.61
Chrysler Pacifica,84113,97706,-13.91
Chrysler Town and Country,9690,0,0.0
Dodge Challenger,52955,60997,-13.18
Dodge Charger,77426,96936,-20.13
Dodge Dart,5,16,-68.75
Dodge Durango,57828,67598,-14.45
Dodge Grand Caravan,38765,122648,-68.39
Dodge Journey,40341,74687,-45.99
Dodge Viper,6,0,0.0
Fiat 124 Spider,1711,2646,-35.34
Fiat 500,674,3267,-79.37
Fiat 500L,475,772,-38.47
Fiat 500X,1444,2519,-42.68
Ford Bronco Sport,5120,0,0.0
Ford E-Series,37001,45063,-17.89
Ford EcoSport,60544,60599,-0.09
Ford Edge,108886,138514,-21.39
Ford Escape,178495,241387,-26.05
Ford Expedition,77838,86423,-9.93
Ford Explorer,226215,187061,20.93
Ford F-Series,787372,896526,-12.18
Ford Fiesta,3354,60148,-94.42
Ford Flex,4849,24485,-80.2
Ford Fusion,110665,166045,-33.35
Ford GT,125,698,-82.09
Ford Mustang,61090,72489,-15.73
Ford Mustang Mach E,3,0,0.0
Ford Ranger,101485,83571,21.44
Ford Transit,131557,153867,-14.5
Ford Transit Connect,34596,41597,-16.83
Genesis G70,9436,11903,-20.73
Genesis G80,3359,7095,-52.66
Genesis G90,2072,2239,-7.46
Genesis GV80,1517,0,0.0
GMC Acadia,72538,99430,-27.05
GMC Canyon,25191,32826,-23.26
GMC Savana,15108,24227,-37.64
GMC Sierra,253014,232325,8.91
GMC Terrain,86020,101470,-15.23
GMC Yukon,63442,74672,-15.04
Honda Accord,199458,267567,-25.45
Honda Civic,261225,325650,-19.78
Honda Clarity FCV,3664,11654,-68.56
Honda CR-V,323502,384168,-15.79
Honda CR-Z,552,0,0.0
Honda Fit,32488,35414,-8.26
Honda HR-V,84027,99104,-15.21
Honda Insight,15932,23686,-32.74
Honda Odyssey,83409,99113,-15.84
Honda Passport,39567,36285,9.05
Honda Pilot,123813,135008,-8.29
Honda Ridgeline,32168,33334,-3.5
Hyundai Accent,15975,25628,-37.67
Hyundai Elantra,105475,175094,-39.76
Hyundai Ioniq,13570,19574,-30.67
Hyundai Kona,76253,73326,3.99
Hyundai Nexo,208,267,-22.1
Hyundai Palisade,81905,28736,185.03
Hyundai Santa Fe,101513,127373,-20.3
Hyundai Sonata,76997,87466,-11.97
Hyundai Tuscon,123657,137381,-9.99
Hyundai Veloster,6785,12849,-47.19
Hyundai Venue,17587,1077,1532.96
Infiniti Q50,16533,25987,-36.38
Infiniti Q60,2793,5043,-44.62
Infiniti Q70,139,2552,-94.55
Infiniti QX30,149,3229,-95.39
Infiniti QX50,20885,18616,12.19
Infiniti QX60,22879,43162,-46.99
Infiniti QX80,16125,19113,-15.63
Jaguar E-Pace,3696,4782,-22.71
Jaguar F-Pace,10891,15491,-29.69
Jaguar F-Type,1701,2279,-25.36
Jaguar I-Pace,1946,2594,-24.98
Jaguar XE,1686,3551,-52.52
Jaguar XF,748,1236,-39.48
Jaguar XJ,1118,0,0.0
Jeep Cherokee,135854,191397,-29.02
Jeep Compass,107968,143933,-24.99
Jeep Gladiator,77541,40038,93.67
Jeep Grand Cherokee,209786,242969,-13.66
Jeep Renegade,62847,76886,-18.26
Jeep Wrangler,201310,228042,-11.72
Kia Cadenza,1265,1577,-19.78
Kia Forte,84997,95683,-11.17
Kia K5,31656,0,0.0
Kia K900,305,392,-22.19
Kia Niro,17434,24421,-28.61
Kia Optima,48484,96050,-49.52
Kia Rio,23927,24509,-2.37
Kia Sedona,13190,15843,-16.75
Kia Seltos,46280,0,0.0
Kia Sorento,74677,96531,-22.64
Kia Soul,71772,97814,-26.62
Kia Sportage,84343,88977,-5.21
Kia Stinger,12556,13884,-9.56
Kia Telluride,75119,58932,27.47
Land Rover Defender,9100,0,0.0
Land Rover Discovery / LR4,5811,9184,-36.73
Land Rover Discovery Sport,7760,12337,-37.1
