Vehicle Original,Sales,% Change,Change,Movie Presence,Release,Car,Stars,Vehicle,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
acura ilx,20430,0.66761897,Positive,0,,,,,,,,2013,,,,,
acura mdx,53040,0.042985802,Positive,acura mdx,Olympus Has Fallen,2004 acura mdx,1,acura mdx,33,"$98,925,640 ",FilmDistrict,2013,0,3,3,33,1
acura rdx,44750,0.515921409,Positive,0,,,,,,,,2013,,,,,
acura rl,39,-0.897097625,Negative,0,,,,,,,,2013,,,,,
acura tl,24318,-0.275646372,Negative,acura tl,The Secret Life of Walter Mitty,1999 acura tl,1,acura tl,93,"$31,484,331 ",Twentieth Century Fox,2013,0,2,2,93,1
acura tsx,17484,-0.394283735,Negative,acura tsx,Jack Reacher,2004 acura tsx,1,acura tsx,89,"$32,520,094 ",Paramount Pictures,2013,0,1,1,89,1
acura zdx,361,-0.534193548,Negative,0,,,,,,,,2013,,,,,
audi a3,857,-0.881054823,Negative,audi a3,A Good Day to Die Hard,1996 audi a3,1,audi a3,54,"$67,349,198 ",Twentieth Century Fox,2013,0,2,2,54,1
audi a4,42130,0.093433688,Positive,audi a4,2 Guns,2005 audi a4 b7,1,audi a4,45,"$75,612,460 ",Universal Pictures,2013,0,3,3,45,1
audi a4 allroad,5386,0.72905297,Positive,audi a4,,,,,,,,2013,,,,,
audi a4 sedan,36744,0.075549571,Positive,audi a4,,,,,,,,2013,,,,,
audi a5,18664,0.080718008,Positive,audi a5,The Best Man Holiday,2008 audi a5 b8,3,audi a5,51,"$70,313,550 ",Universal Pictures,2013,1,0,1,51,3
audi a6,22428,0.180545321,Positive,audi a6,Jack Reacher,2005 audi a6 c6,3,audi a6,89,"$32,520,094 ",Paramount Pictures,2013,1,2,3,89,3
audi a7,8483,-0.013375204,Negative,0,,,,,,,,2013,,,,,
audi a8,6300,0.049650117,Positive,audi a8,Iron Man 3,2012 audi a8 l d4,3,audi a8,1,"$409,013,994 ",Walt Disney Studios Motion Pictures,2013,1,5,6,1,3
audi q5,40355,0.407519794,Positive,0,,,,,,,,2013,,,,,
