Release,Car,Stars,Vehicle,Vehicle Original,Rank,Gross,Distributor,Year,Strong Appearance,Weak Appearance,Total Appearance,Best Rank,Highest Star
Ride Along 2,2002 acura nsx,1,acura nsx,acura nsx,32,"$91,221,830",Universal Pictures,2016,0,1,1,32,1
La La Land,2008 acura tsx,1,acura tsx,acura tsx,87,"$30,980,271",Lionsgate,2016,0,1,1,87,1
Batman v Superman: Dawn of Justice,2015 alfa romeo 4c,2,alfa romeo 4c,alfa romeo 4c,8,"$330,360,194",Warner Bros.,2016,0,2,2,8,2
My Big Fat Greek Wedding 2,2009 audi a3,1,audi a3,audi a3,54,"$59,689,605",Universal Pictures,2016,0,2,2,54,1
Captain America: Civil War,2001 audi a4 b6,2,audi a4,audi a4,3,"$408,084,349",Walt Disney Studios Motion Pictures,2016,0,8,8,3,2
London Has Fallen,2002 audi a4 avant b6,1,audi a4 avant,audi a4 avant,51,"$62,524,260",Focus Features,2016,0,1,1,51,1
13 Hours,1997 audi a6 c5,2,audi a6,audi a6,62,"$52,853,219",Paramount Pictures,2016,0,3,3,62,2
Captain America: Civil War,2015 audi a7 sportback c7,1,audi a7,audi a7,3,"$408,084,349",Walt Disney Studios Motion Pictures,2016,0,1,1,3,1
Office Christmas Party,2016 audi a8 l d4,2,audi a8,audi a8,63,"$49,815,176",Paramount Pictures,2016,0,3,3,63,2
Dirty Grandpa,2009 audi q5,2,audi q5,audi q5,81,"$35,593,113",Lionsgate,2016,0,3,3,81,2
Captain America: Civil War,2006 audi q7,2,audi q7,audi q7,3,"$408,084,349",Walt Disney Studios Motion Pictures,2016,0,2,2,3,2
Captain America: Civil War,2015 audi r8,2,audi r8,audi r8,3,"$408,084,349",Walt Disney Studios Motion Pictures,2016,0,1,1,3,2
The Boss,2013 audi tt,1,audi tt,audi tt,50,"$63,285,885",Universal Pictures,2016,0,2,2,50,1
The Secret Life of Pets,2012 bentley continental gtc,1,bentley continental gt,bentley continental gt,4,"$368,384,330",Universal Pictures,2016,0,2,2,4,1
Now You See Me 2,2014 bentley flying spur,1,bentley flying spur,bentley flying spur,47,"$65,075,540",Lionsgate,2016,0,1,1,47,1
London Has Fallen,2012 bmw 1 [f20],1,bmw 1,bmw 1-series,51,"$62,524,260",Focus Features,2016,0,1,1,51,1
Ride Along 2,2007 bmw 335i [e92],3,bmw 3,bmw 3-series,32,"$91,221,830",Universal Pictures,2016,2,21,23,32,3
The Girl on the Train,2014 bmw 4 [f33],1,bmw 4,bmw 4-series,41,"$75,395,035",Universal Pictures,2016,0,2,2,41,1
Captain America: Civil War,1996 bmw 5 [e39],2,bmw 5,bmw 5-series,3,"$408,084,349",Walt Disney Studios Motion Pictures,2016,0,14,14,3,2
Now You See Me 2,2006 bmw 750li [e66],2,bmw 7,bmw 7-series,47,"$65,075,540",Lionsgate,2016,0,4,4,47,2
Alvin and the Chipmunks: The Road Chip,2015 bmw i8 [i12],2,bmw i8,bmw i8,90,"$30,311,560",Twentieth Century Fox,2016,0,1,1,90,2
Jason Bourne,2013 bmw x1 [e84],1,bmw x1,bmw x1,15,"$162,434,410",Universal Pictures,2016,0,2,2,15,1
Ghostbusters,2015 bmw x3 [f25],1,bmw x3,bmw x3,21,"$128,350,574",Sony Pictures Entertainment (SPE),2016,0,1,1,21,1
London Has Fallen,2000 bmw x5 [e53],3,bmw x5,bmw x5,51,"$62,524,260",Focus Features,2016,1,3,4,51,3
Captain America: Civil War,2008 bmw x6 [e71],2,bmw x6,bmw x6,3,"$408,084,349",Walt Disney Studios Motion Pictures,2016,0,2,2,3,2
Central Intelligence,2014 buick lacrosse,1,buick lacrosse,buick lacrosse,22,"$127,440,871",Warner Bros.,2016,0,4,4,22,1
Ride Along 2,2011 buick regal,1,buick regal,buick regal,32,"$91,221,830",Universal Pictures,2016,0,3,3,32,1
The Purge: Election Year,2003 cadillac cts,2,cadillac cts,cadillac cts,38,"$79,213,375",Universal Pictures,2016,0,1,1,38,2
London Has Fallen,2006 cadillac dts stretched limousine,3,cadillac dts,cadillac dts,51,"$62,524,260",Focus Features,2016,1,3,4,51,3
Money Monster,2015 cadillac escalade,3,cadillac escalade,cadillac escalade,72,"$41,012,075",TriStar Pictures,2016,2,9,11,72,3
The Purge: Election Year,2013 cadillac srx,1,cadillac srx,cadillac srx,38,"$79,213,375",Universal Pictures,2016,0,2,2,38,1
Suicide Squad,2005 cadillac sts,1,cadillac sts,cadillac sts,9,"$325,100,054",Warner Bros.,2016,0,1,1,9,1
Jason Bourne,2013 cadillac xts stretched limousine,1,cadillac xts,cadillac xts,15,"$162,434,410",Universal Pictures,2016,0,2,2,15,1
Ride Along 2,2007 chevrolet avalanche,1,chevrolet avalanche,chevrolet avalanche,32,"$91,221,830",Universal Pictures,2016,0,1,1,32,1
Ride Along 2,2004 chevrolet aveo,1,chevrolet aveo,chevrolet aveo,32,"$91,221,830",Universal Pictures,2016,0,1,1,32,1
Teenage Mutant Ninja Turtles: Out of the Shadows,1998 chevrolet blazer,2,chevrolet blazer,chevrolet blazer,37,"$82,051,601",Paramount Pictures,2016,0,1,1,37,2
