Release,Title,Year,Rated,Released,Runtime,Genre,Director,Actors,Country,Awards,Rotten Tomatoes,Metascore,IMDB,IMDB Votes,IMDB id,Top100 Year
Bad Boys for Life,Bad Boys for Life,2020,R,17 Jan 2020,124 min,"Action, Comedy, Crime, Thriller","Adil El Arbi, Bilall Fallah","Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig","USA, Mexico",2 wins & 14 nominations.,77%,59,6.6,"133,505",tt1502397,2020
1917,1917,2019,R,10 Jan 2020,119 min,"Drama, Thriller, War",Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth","USA, UK, India, Spain, Canada, China",Won 3 Oscars. Another 127 wins & 198 nominations.,89%,78,8.3,"442,036",tt8579674,2020
Sonic the Hedgehog,Sonic the Hedgehog,2020,PG,14 Feb 2020,99 min,"Action, Adventure, Comedy, Sci-Fi",Jeff Fowler,"Ben Schwartz, James Marsden, Jim Carrey, Tika Sumpter","USA, Japan, Canada",3 wins & 9 nominations.,63%,47,6.5,"92,987",tt3794354,2020
Jumanji: The Next Level,Jumanji: The Next Level,2019,PG-13,13 Dec 2019,123 min,"Action, Adventure, Comedy, Fantasy",Jake Kasdan,"Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan",USA,1 win & 10 nominations.,71%,58,6.6,"192,270",tt7975244,2020
Star Wars: Episode IX - The Rise of Skywalker,Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,20 Dec 2019,141 min,"Action, Adventure, Fantasy, Sci-Fi",J.J. Abrams,"Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley",USA,Nominated for 3 Oscars. Another 9 wins & 39 nominations.,51%,53,6.6,"378,434",tt2527338,2020
Birds of Prey,Birds of Prey,2020,R,07 Feb 2020,109 min,"Action, Adventure, Comedy, Crime",Cathy Yan,"Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, Jurnee Smollett",USA,10 wins & 68 nominations.,78%,60,6.1,"173,258",tt7713068,2020
Dolittle,Dolittle,2020,PG,17 Jan 2020,101 min,"Adventure, Comedy, Family, Fantasy",Stephen Gaghan,"Robert Downey Jr., Antonio Banderas, Michael Sheen, Jim Broadbent","USA, China, UK, Japan",1 win & 9 nominations.,14%,26,5.6,"49,731",tt6673612,2020
Little Women,Little Women,2019,PG,25 Dec 2019,135 min,"Drama, Romance",Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen",USA,Won 1 Oscar. Another 75 wins & 216 nominations.,95%,91,7.8,"148,920",tt3281548,2020
The Invisible Man,The Invisible Man,2020,R,28 Feb 2020,124 min,"Drama, Horror, Mystery, Sci-Fi, Thriller",Leigh Whannell,"Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge","Canada, Australia, USA",30 wins & 64 nominations.,72/100,72,7.1,"172,327",tt1051906,2020
The Call of the Wild,The Call of the Wild,2020,PG,21 Feb 2020,100 min,"Adventure, Drama, Family",Chris Sanders,"Harrison Ford, Omar Sy, Cara Gee, Dan Stevens","Canada, USA",1 win & 7 nominations.,47/100,47,6.8,"39,877",tt7504726,2020
Onward,Onward,2020,PG,06 Mar 2020,102 min,"Animation, Adventure, Comedy, Family, Fantasy",Dan Scanlon,"Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer",USA,Nominated for 1 Golden Globe. Another 3 wins & 59 nominations.,88%,61,7.4,"105,337",tt7146812,2020
Knives Out,Knives Out,2019,PG-13,27 Nov 2019,130 min,"Comedy, Crime, Drama, Mystery, Thriller",Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis",USA,Nominated for 1 Oscar. Another 47 wins & 107 nominations.,97%,82,7.9,"471,083",tt8946378,2020
Frozen II,Frozen II,2019,PG,22 Nov 2019,103 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical","Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff","USA, Norway",Nominated for 1 Oscar. Another 18 wins & 88 nominations.,78%,64,6.9,"140,131",tt4520988,2020
Tenet,Tenet,2020,PG-13,03 Sep 2020,150 min,"Action, Sci-Fi, Thriller",Christopher Nolan,"Juhan Ulfsak, Jefferson Hall, Ivo Uukkivi, Andrew Howard","UK, USA",Nominated for 2 Oscars. Another 34 wins & 122 nominations.,70%,69,7.5,"311,857",tt6723592,2020
Spies in Disguise,Spies in Disguise,2019,PG,25 Dec 2019,102 min,"Animation, Action, Adventure, Comedy, Family, Sci-Fi","Nick Bruno, Troy Quane","Rachel Brosnahan, Jarrett Bruno, Claire Crosby, Toru Uchikado","USA, Australia, UK",4 nominations.,54/100,54,6.8,"37,099",tt5814534,2020
The Gentlemen,The Gentlemen,2019,R,24 Jan 2020,113 min,"Action, Comedy, Crime",Guy Ritchie,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong","UK, USA",3 nominations.,51/100,51,7.8,"249,440",tt8367814,2020
Just Mercy,Just Mercy,2019,PG-13,10 Jan 2020,137 min,"Biography, Crime, Drama",Destin Daniel Cretton,"Jamie Foxx, Charlie Pye Jr., Michael Harding, Christopher Wolfe",USA,9 wins & 16 nominations.,85%,68,7.6,"48,673",tt4916630,2020
The Croods: A New Age,The Croods: A New Age,2020,PG,25 Nov 2020,95 min,"Animation, Adventure, Comedy, Family, Fantasy",Joel Crawford,"Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener",USA,Nominated for 1 Golden Globe. Another 25 nominations.,77%,56,7.0,"20,408",tt2850386,2020
Parasite,Parasite,2019,R,08 Nov 2019,132 min,"Comedy, Drama, Thriller",Bong Joon Ho,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho, Woo-sik Choi",South Korea,Won 4 Oscars. Another 297 wins & 265 nominations.,98%,96,8.6,"580,433",tt6751668,2020
Fantasy Island,Fantasy Island,2020,PG-13,14 Feb 2020,109 min,"Action, Adventure, Fantasy, Horror, Mystery, Thriller",Jeff Wadlow,"Michael Peña, Maggie Q, Lucy Hale, Austin Stowell",USA,5 nominations.,7%,22,4.9,"38,096",tt0983946,2020
Uncut Gems,Uncut Gems,2019,R,25 Dec 2019,135 min,"Crime, Drama, Thriller","Benny Safdie, Josh Safdie","Mesfin Lamengo, Sun Zhi Hua-Hilton, Liang Wei-Hui-Duncan, Sunny Wu Jin Zahao",USA,23 wins & 87 nominations.,91%,91,7.4,"226,863",tt5727208,2020
The New Mutants,The New Mutants,2020,PG-13,28 Aug 2020,94 min,"Action, Horror, Sci-Fi",Josh Boone,"Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Alice Braga",USA,7 nominations.,35%,43,5.3,"46,440",tt4682266,2020
Like a Boss,Like a Boss,2020,R,10 Jan 2020,83 min,Comedy,Miguel Arteta,"Tiffany Haddish, Rose Byrne, Salma Hayek, Karan Soni",USA,1 win & 5 nominations.,33/100,33,4.6,"10,681",tt7545266,2020
The Grudge,The Grudge,2004,PG-13,22 Oct 2004,91 min,"Horror, Mystery, Thriller",Takashi Shimizu,"Sarah Michelle Gellar, Jason Behr, William Mapother, Clea DuVall","USA, Japan",2 wins & 10 nominations.,40%,49,5.9,"139,190",tt0391198,2020
